FIELD,ARM_A_25KHZ,ARM_B_FORMAL_50KHZ,COMPARISON_STATUS
ROLE,DIAGNOSTIC,MANDATORY_FORMAL_RESTORATION_ONLY,CONTEXT_ONLY
BIT_SHA256,B125940D11CD5400F176E773A49C0A3529FF0ADEA08293E1601245DBC5FBE191,7E4E909D78C2BE5C1E0ECA56229F2B88ECC2DBF5974B32BDF07EF1AFCD9449A2,EXACT
PROGRAM_INVOCATIONS,1,1,WITHIN_LIMIT
PROGRAM_RETRIES,0,0,PASS
VENDOR_STARTUP_STATUS,HIGH,HIGH,PASS
DONE_AFTER_PROGRAM,1,1,PASS
WAIT_SECONDS,223.944751400,5.000408800,PASS
WARM_REBOOT,PASS,NOT_RUN,NOT_COMPARABLE
RUNNING_KERNEL,7.0.0-30-generic,NOT_READ,NOT_COMPARABLE
PINNED_MODULE_VERMAGIC,7.0.0-29-generic,NOT_APPLICABLE,ARM_A_MISMATCH
DRIVER_LOADER_INVOCATIONS,0,0,NO_FUNCTIONAL_ACCESS
RUNTIME_GIT_SHA,NOT_READ,NOT_READ,NOT_COMPARABLE
RUNTIME_BUILD_FLAGS,NOT_READ,NOT_READ,NOT_COMPARABLE
NVP_VIDEO_TELEMETRY,NOT_RUN,NOT_RUN,NOT_COMPARABLE
FUNCTIONAL_RESULT,INCONCLUSIVE_INFRASTRUCTURE,NOT_A_VALID_PAIRED_CONTROL,PAIR_INCONCLUSIVE_INFRASTRUCTURE
FINAL_FRESH_DONE,NOT_RUN_AFTER_REBOOT,1,FORMAL_RESTORE_DONE_PROVEN
