"FIXTURE","EXPECTED","ACTUAL","MATCH","COUNT_GATE","ORDER_GATE"
"PASS_STARTUP_HIGH_DONE_1.log","PASS_STARTUP_HIGH_DONE_1","PASS_STARTUP_HIGH_DONE_1","PASS","PASS","PASS"
"FAIL_STARTUP_LOW.log","FAIL_OBSERVER_GATE","FAIL_OBSERVER_GATE","PASS","FAIL","FAIL"
"FAIL_MISSING_STARTUP_STATUS.log","FAIL_OBSERVER_GATE","FAIL_OBSERVER_GATE","PASS","FAIL","FAIL"
"FAIL_DONE_0.log","FAIL_OBSERVER_GATE","FAIL_OBSERVER_GATE","PASS","FAIL","FAIL"
"FAIL_WRONG_ORDER.log","FAIL_OBSERVER_GATE","FAIL_OBSERVER_GATE","PASS","PASS","FAIL"
"FAIL_DUPLICATE_PROGRAM_INVOCATION.log","FAIL_OBSERVER_GATE","FAIL_OBSERVER_GATE","PASS","FAIL","FAIL"
"FAIL_PROCESS_EXIT_NONZERO.log","FAIL_OBSERVER_GATE","FAIL_OBSERVER_GATE","PASS","FAIL","FAIL"
"FAIL_DUPLICATE_PROGRAM_INVOCATIONS.log","FAIL_OBSERVER_GATE","FAIL_OBSERVER_GATE","PASS","FAIL","FAIL"
"FAIL_DUPLICATE_DONE.log","FAIL_OBSERVER_GATE","FAIL_OBSERVER_GATE","PASS","FAIL","FAIL"
"FAIL_TIMEOUT.log","FAIL_OBSERVER_GATE","FAIL_OBSERVER_GATE","PASS","FAIL","FAIL"
"FAIL_PROGRAM_ERROR.log","FAIL_OBSERVER_GATE","FAIL_OBSERVER_GATE","PASS","FAIL","FAIL"
