METRIC,ARM_A_25KHZ,ARM_B_FORMAL_50KHZ,DELTA_A_MINUS_B,INTERPRETATION
INFRASTRUCTURE_VALID,YES,YES,0,PAIR_ADMISSIBLE
PROGRAM_RESULT,PASS_STARTUP_HIGH_DONE_1,PASS_STARTUP_HIGH_DONE_1,NA,BOTH_VALID
RUNTIME_PROVENANCE,f007dc172d43d30b02729755e60382f8ce3dbff4/BUILD_FLAGS_0x00000002,FORMAL_ZERO_GIT_WORDS/BUILD_FLAGS_0x00000000,NA,BOTH_EXACT
BLOCK_ID,0xA40A0C07,0xA40A0C07,0,EQUAL
PROTOCOL,0x0000400B,0x0000400B,0,EQUAL
CAPABILITIES,0x00031002,0x00031002,0,EQUAL
DIAGNOSTIC_MAGIC,0x00000000,0x00000000,0,EQUAL
INIT_DONE,1,1,0,EQUAL
INIT_ERROR,1,1,0,BOTH_FUNCTIONAL_FAIL
NACK_COUNT,8,15,-7,ARM_A_HAS_7_FEWER_NACKS_PARTIAL_EFFECT
TIMEOUT_COUNT,0,0,0,EQUAL
FIRST_ERROR,CODE_0x02_STEP_0x2D_META_0x01_PHYS_0x01_REG_0xED_VALUE_0x00,CODE_0x01_STEP_0x02_META_0x01_PHYS_0x01_REG_0xCA_VALUE_0x66,NA,FAILURE_LOCUS_CHANGED_NO_RECOVERY
VCLK_RATE_MIN_HZ,147776427.625907,147785016.335241,-8588.709334,BOTH_WITHIN_140_TO_160_MHZ
VCLK_RATE_MAX_HZ,149234386.368764,149157931.307508,76455.061256,BOTH_WITHIN_140_TO_160_MHZ
SAV_RATE_MIN,0.000000,0.000000,0,BOTH_FAIL
SAV_RATE_MAX,0.000000,0.000000,0,BOTH_FAIL
FRAME_RATE_MIN,0.000000,0.000000,0,BOTH_FAIL
FRAME_RATE_MAX,0.000000,0.000000,0,BOTH_FAIL
RESET_RELEASED,1,1,0,EQUAL_VALID
VDD1X_ACTIVE,1,1,0,EQUAL_VALID
VDD3X_ACTIVE,1,1,0,EQUAL_VALID
MMIO_READS,40,40,0,READ_ONLY_EQUAL
AXI_LITE_WRITES,0,0,0,NONE
C2H_TRANSFERS,0,0,0,NONE
H2C_TRANSFERS,0,0,0,NONE
FINAL_DONE,1,1,0,BOTH_VALID
FUNCTIONAL_RESULT,VALID_FUNCTIONAL_FAIL,VALID_FUNCTIONAL_FAIL,NA,CASE5_SPECIFIC_PARTIAL_EFFECT_PRECEDENCE
PAIRED_AB_RESULT,PARTIAL_OR_MIXED_EFFECT_SINGLE_SAMPLE,PARTIAL_OR_MIXED_EFFECT_SINGLE_SAMPLE,NA,NOT_A_FULL_PASS
FINAL_ACTIVE_IMAGE,FORMAL_PHASE2,FORMAL_PHASE2,NA,MANDATORY_RESTORE_COMPLETE
