COMPARISON,PATH,STATUS,GIT_BLOB_BASE,GIT_BLOB_TARGET,CLASSIFICATION
FORMAL_TO_R1C,rtl/top/ahd_capture_top_xdma.sv,MODIFIED,c75db4b946a19a831e9869e3404b4640dae053d6,81ad214137a6e5ab7fce47b5c75dde5bf21f0c82,ONLY_FUNCTIONAL_RTL_CHANGE_I2C_HZ_50000_TO_25000
FORMAL_TO_R1C,scripts/v41/phase3_build.tcl,MODIFIED,ddf447f959c06118a43164901b8814ec4a8cc55e,b908146795f6bf0033a4e2ae211208ff20532583,PROVENANCE_BUILD_SCRIPT_ONLY
FORMAL_TO_R1C,rtl/nvp/nvp6134c_autoinit.vhd,UNCHANGED,5dc0230cd569f03d68452055db6b10c5fcade751,5dc0230cd569f03d68452055db6b10c5fcade751,PROTECTED_NVP_UNCHANGED
FORMAL_TO_R1C,rtl/nvp/nvp6134c_i2c_bringup.vhd,UNCHANGED,cfe33464d8e75c514462786593b278d90b4059a4,cfe33464d8e75c514462786593b278d90b4059a4,PROTECTED_NVP_UNCHANGED
FORMAL_TO_R1C,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,UNCHANGED,7ddd60fc86da49cda1adcd7af7b772b337c95df6,7ddd60fc86da49cda1adcd7af7b772b337c95df6,PROTECTED_NVP_UNCHANGED
FORMAL_TO_R1C,rtl/v41/control_status_regs.sv,UNCHANGED,3582a21f235678e3310b8dc523818cfeace96d97,3582a21f235678e3310b8dc523818cfeace96d97,NO_MEASUREMENT_DECODE
FORMAL_TO_R1C,rtl/pio/pio_bar_target.sv,UNCHANGED,1ab24dace7534d4c42d860e9234024440cb69f39,1ab24dace7534d4c42d860e9234024440cb69f39,RESERVED_SLOT_RETURNS_ZERO
FORMAL_TO_R1C,rtl/v41/axi_clock_lifecycle_monitor.sv,ABSENT,-,-,COUNTER_NOT_IMPLEMENTED
FORMAL_TO_R1C,rtl/v41/axi_clock_measurement_regs.sv,ABSENT,-,-,COUNTER_REGISTERS_NOT_IMPLEMENTED
FORMAL_TO_R1,rtl/top/ahd_capture_top_xdma.sv,MODIFIED,c75db4b946a19a831e9869e3404b4640dae053d6,220dc6e81a0e169c0fa8419b084f2031200a0efa,LIFECYCLE_MONITOR_AND_MEASUREMENT_REGS_INSTANTIATED
FORMAL_TO_R1,rtl/v41/control_status_regs.sv,MODIFIED,3582a21f235678e3310b8dc523818cfeace96d97,9dea600316b80797e5d26470882208eabf3b861b,MEASUREMENT_RANGE_0X2000_DECODE_ADDED
FORMAL_TO_R1,rtl/v41/axi_clock_lifecycle_monitor.sv,ADDED,-,c8c8145b12494cbdd54de7760f0558e6ab5fef11,R1_ONLY_COUNTER_IMPLEMENTATION
FORMAL_TO_R1,rtl/v41/axi_clock_measurement_regs.sv,ADDED,-,64f4a3df745bcde00f9facac3030637a32a19485,R1_ONLY_MEASUREMENT_REGISTER_WINDOW
