READ_INDEX,RAW_BLOCK,ADDRESS,VALUE,IN_R1_MEASUREMENT_RANGE_0X2000_0X203F,R1_COUNTER_FIELD_READ
1,IDENTITY_BLOCK_ID,0x00000000,0xA40A0C07,NO,NO
2,IDENTITY_PROTOCOL,0x00000004,0x0000400B,NO,NO
3,IDENTITY_CAPABILITIES,0x00000008,0x00031002,NO,NO
4,IDENTITY_DIAGNOSTIC_MAGIC,0x00002000,0x00000000,YES_BASE_ONLY,NO
5,PROVENANCE_GIT_SHA_W0,0x00000010,0x00000000,NO,NO
6,PROVENANCE_GIT_SHA_W1,0x00000014,0x00000000,NO,NO
7,PROVENANCE_GIT_SHA_W2,0x00000018,0x00000000,NO,NO
8,PROVENANCE_GIT_SHA_W3,0x0000001C,0x00000000,NO,NO
9,PROVENANCE_GIT_SHA_W4,0x00000020,0x00000000,NO,NO
10,PROVENANCE_BUILD_FLAGS,0x0000002C,0x00000000,NO,NO
11,T0_FRAME,0x00000060,0x00000000,NO,NO
12,T0_VCLK,0x00000080,0x2455E6C8,NO,NO
13,T0_SAV,0x00000084,0x00000000,NO,NO
14,T0_RECORD_COMMIT,0x00000088,0x00000000,NO,NO
15,T0_STATUS,0x0000008C,0x000000FB,NO,NO
16,T0_NACK,0x00000090,0x0000000F,NO,NO
17,T0_TIMEOUT,0x00000094,0x00000000,NO,NO
18,T0_SUMMARY,0x00000098,0x00D608F9,NO,NO
19,T0_FIRST_ERROR,0x0000009C,0x80010200,NO,NO
20,T0_DETAIL0,0x000000A0,0x00D6F908,NO,NO
21,T0_DETAIL1,0x000000A4,0xFF0001FA,NO,NO
22,T0_DETAIL2,0x000000A8,0x01010000,NO,NO
23,T0_DETAIL3,0x000000AC,0x66CA0102,NO,NO
24,T0_DETAIL4,0x000000B0,0x0000000F,NO,NO
25,T0_DETAIL5,0x000000B4,0x01000000,NO,NO
26,T1_FRAME,0x00000060,0x00000000,NO,NO
27,T1_VCLK,0x00000080,0x2E76256E,NO,NO
28,T1_SAV,0x00000084,0x00000000,NO,NO
29,T1_RECORD_COMMIT,0x00000088,0x00000000,NO,NO
30,T1_STATUS,0x0000008C,0x000000FB,NO,NO
31,T1_NACK,0x00000090,0x0000000F,NO,NO
32,T1_TIMEOUT,0x00000094,0x00000000,NO,NO
33,T1_SUMMARY,0x00000098,0x00D608F9,NO,NO
34,T1_FIRST_ERROR,0x0000009C,0x80010200,NO,NO
35,T1_DETAIL0,0x000000A0,0x00D6F908,NO,NO
36,T1_DETAIL1,0x000000A4,0xFF0001FA,NO,NO
37,T1_DETAIL2,0x000000A8,0x01010000,NO,NO
38,T1_DETAIL3,0x000000AC,0x66CA0102,NO,NO
39,T1_DETAIL4,0x000000B0,0x0000000F,NO,NO
40,T1_DETAIL5,0x000000B4,0x01000000,NO,NO
