"CATEGORY","METRIC","VALUE_50KHZ","VALUE_25KHZ","UNIT_OR_CLASSIFICATION"
"CLOCK","I2C_HZ","50000","25000","Hz generic"
"CLOCK","DIVIDER","625","1250","integer"
"CLOCK","TICK_CYCLES","626","1251","FPGA clocks"
"SOURCE_TABLE","TABLE_SLOTS","214","214","slots 0..213"
"SOURCE_TABLE","TARGET_WRITE_SLOTS","187","187","real table entries"
"SOURCE_TABLE","NOP_SLOTS","26","26","FD slots"
"SOURCE_TABLE","DELAY_SLOTS","1","1","FE03E8 slot"
"SOURCE_TABLE","VERIFIED_BANK_CHANGES","25","25","selector readbacks"
"TRANSACTIONS","PREINIT_WRITES","1","1","transactions"
"TRANSACTIONS","PREINIT_READS","2","2","transactions"
"TRANSACTIONS","INIT_WRITES","212","212","transactions"
"TRANSACTIONS","INIT_READS","25","25","transactions"
"TRANSACTIONS","POST_WRITES","7","7","transactions"
"TRANSACTIONS","POST_READS","28","28","transactions"
"TRANSACTIONS","TOTAL_WRITES","220","220","transactions"
"TRANSACTIONS","TOTAL_READS","55","55","transactions"
"TRANSACTIONS","TOTAL_I2C","275","275","transactions"
"TICK_COMPOSITION","IDLE_ACCEPT","1","1","tick actions"
"TICK_COMPOSITION","PREINIT","227","227","tick actions"
"TICK_COMPOSITION","INIT_REAL_I2C","15007","15007","tick actions"
"TICK_COMPOSITION","NOP_SLOTS","52","52","tick actions"
"TICK_COMPOSITION","DELAY_SLOT","1003","1003","tick actions"
"TICK_COMPOSITION","FINAL_SETTLE","12001","12001","tick actions"
"TICK_COMPOSITION","POST_READBACK_RESTORE","2751","2751","tick actions"
"TICK_COMPOSITION","FINISH","1","1","tick actions"
"EXPECTED","SUCCESS_PATH_TICK_ACTIONS","31043","31043","tick actions"
"EXPECTED","FIRST_IDLE_TO_FINISH_INTERVALS","31042","31042","tick intervals"
"EXPECTED","FIRST_IDLE_TICK_EDGE","93750387","93751192","62.5-MHz counter value"
"EXPECTED","FINISH_COUNTER_VALUE","113182679","132584734","62.5-MHz counter value"
"EXPECTED","TOTAL_FROM_FIRST_ACTIVE_CLOCK_US","1810922.864000","2121355.744000","microseconds"
"VALIDATION","SOURCE_DERIVED_MODEL_MATCH","PASS","PASS","exact preserved numerical/simulation evidence"
