"PATH","WRITE_TRANSACTIONS","READ_TRANSACTIONS","OTHER_TICKS","TOTAL_TICKS","MEANING"
"WRITE_TRANSACTION","1","0","0","61","full write including SETUP/STORE/NEXT"
"READ_TRANSACTION","0","1","0","83","full repeated-start single-byte read including SETUP/STORE/NEXT"
"PREINIT_READ_ORIGINAL","0","1","0","83","read original bank selector"
"PREINIT_FORCE_BANK0_WRITE","1","0","0","61","deferred physical-bank update"
"PREINIT_FORCE_BANK0_VERIFY","0","1","0","83","verified readback of bank selector"
"PREINIT_TOTAL","1","2","0","227","all-ACK preinit"
"CACHED_BANK_TARGET_ENTRY","1","0","0","61","target write when physical bank already verified"
"BANK_CHANGE_SELECTOR_ONLY","1","0","0","61","selector write"
"BANK_CHANGE_VERIFY_ONLY","0","1","0","83","selector readback"
"BANK_CHANGE_FULL_ENTRY","2","1","0","205","selector write + verify read + target write"
"NOP_SLOT","0","0","2","2","SETUP plus NEXT"
"DELAY_SLOT_FE03E8","0","0","1003","1003","SETUP + inclusive target-1000 WAIT_SLOT + NEXT"
"FINAL_SETTLE","0","0","12001","12001","inclusive WAIT_INIT 0..12000"
"POST_WIN_BANK_AND_16_READS","1","16","0","1389","bank-0 write plus sixteen reads"
"POST_OUT_BANK_AND_8_READS","1","8","0","725","bank-1 write plus eight reads"
"POST_AFE_FOUR_BANK_READ_PAIRS","4","4","0","576","four bank writes plus four reads"
"RESTORE_WRITE","1","0","0","61","restore original FF"
"POST_TABLE_TOTAL","7","28","0","2751","readback and restore"
"INIT_REAL_I2C_TOTAL","212","25","0","15007","source-derived effective table"
"ALL_ACK_COMPLETE_ACTIONS","220","55","13058","31043","includes IDLE, NOP/delay, settle, FINISH"
