METRIC,VALUE,EVIDENCE_STATUS
ROLE,ARM_B_FORMAL_50KHZ,MEASURED_IDENTITY
I2C_HZ,50000,SOURCE_PROVEN
DIVIDER,625,SOURCE_DERIVED
TICK_CYCLES,626,SOURCE_DERIVED_INCLUSIVE_COUNTER
RAW_NACK_COUNT,15,MEASURED
CNT_AT_INIT_DONE_AVAILABLE,NO,FIELD_AVAILABILITY_AUDIT
EXPECTED_CNT_AT_INIT_DONE_AVAILABLE,NO,FIELD_AVAILABILITY_AUDIT
FULL_ORDERED_NACK_LOG_AVAILABLE,NO,FIELD_AVAILABILITY_AUDIT
SIGNED_COUNT_ERROR_CYCLES,NOT_COMPUTABLE_FROM_EXISTING_R1C_EVIDENCE,COUNTER_ABSENT
CONTROL_FLOW_SHORTENING_CYCLES,NOT_COMPUTABLE_FROM_EXISTING_R1C_EVIDENCE,COUNTER_ABSENT
CONTROL_FLOW_SHORTENING_TICKS_EXACT,NOT_COMPUTABLE_FROM_EXISTING_R1C_EVIDENCE,COUNTER_ABSENT
CONTROL_FLOW_SHORTENING_TICKS_NEAREST,NOT_COMPUTABLE_FROM_EXISTING_R1C_EVIDENCE,COUNTER_ABSENT
RESIDUAL_CYCLES,NOT_COMPUTABLE_FROM_EXISTING_R1C_EVIDENCE,COUNTER_ABSENT
CONTROL_FLOW_EFFECTIVE_NACK_EVENTS,NOT_COMPUTABLE_FROM_EXISTING_R1C_EVIDENCE,FULL_LOG_ABSENT
SKIPPED_I2C_TRANSACTIONS,NOT_COMPUTABLE_FROM_EXISTING_R1C_EVIDENCE,FULL_LOG_ABSENT
SKIPPED_TABLE_ENTRIES,NOT_COMPUTABLE_FROM_EXISTING_R1C_EVIDENCE,FULL_LOG_ABSENT
RESULT_MODE,AGGREGATE_ONLY_NOT_COMPUTABLE,FAIL_CLOSED

