Property                    Type    Read-only  Value
BEL                         string  false      IOB33.INBUF_EN
BOX_TYPE                    string  false      PRIMITIVE
CLASS                       string  true       cell
DRIVE                       int     true       12
IBUF_LOW_PWR                bool    true       1
INSERT_MBUFG_CONTROL_LOGIC  bool    false      0
IOSTANDARD                  string  true       LVCMOS33
IS_BEL_FIXED                bool    false      0
IS_BLACKBOX                 bool    true       0
IS_BOUNDARY_INST            bool    true       0
IS_DEBUGGABLE               bool    true       1
IS_ENCRYPTED                bool    true       0
IS_LOC_FIXED                bool    false      1
IS_MATCHED                  bool    true       1
IS_ORIG_CELL                bool    true       1
IS_PRIMITIVE                bool    true       1
IS_REUSED                   bool    true       0
IS_SEQUENTIAL               bool    true       0
LOC                         site    false      IOB_X0Y18
NAME                        string  true       NVP_SCL_IOBUF
ORIG_REF_NAME               string  true       IOBUF
PRIMITIVE_COUNT             int     true       1
PRIMITIVE_GROUP             enum    true       IO
PRIMITIVE_LEVEL             enum    true       MACRO
PRIMITIVE_SUBGROUP          enum    true       iobuf
PRIMITIVE_TYPE              enum    true       IO.iobuf.IOBUF
REF_NAME                    string  true       IOBUF
REUSE_STATUS                enum    true       
SCOPED_NAME                 string  true       NVP_SCL_IOBUF
SLEW                        string  true       SLOW
SLR_INDEX                   int     true       0
STATUS                      enum    true       FIXED
