filename,size_bytes,sha256,expected_sha256,gate
Invoke-ContextualPlink.ps1,10952,5AB2E265C494DC4A93E087E52A32D102302070B1DF68B344C01640237A483EC9,5AB2E265C494DC4A93E087E52A32D102302070B1DF68B344C01640237A483EC9,PASS
parse_pci_bars.py,3380,5F7A6BDBF498720E1B40C54AB71A7E86BBD43AF1758AB207CF7EEBA65B15A922,5F7A6BDBF498720E1B40C54AB71A7E86BBD43AF1758AB207CF7EEBA65B15A922,PASS
read_nvp_r1e.py,8385,0BE8AD0ECEF0FC333FEDFFAC9C7D94D2851E7FC319EEB88579D7EA3B2AEA7037,0BE8AD0ECEF0FC333FEDFFAC9C7D94D2851E7FC319EEB88579D7EA3B2AEA7037,PASS
verify_runtime_identity.py,1426,84D143C674AB7CF40E3043178B5F8D926B182A89491B76307CD69E2117D1337C,84D143C674AB7CF40E3043178B5F8D926B182A89491B76307CD69E2117D1337C,PASS
analyze_r4_telemetry.py,22161,A19A290FF57B588AA02868F8E46AA9386005EFB0FBC38072C4373DB32F6AB967,A19A290FF57B588AA02868F8E46AA9386005EFB0FBC38072C4373DB32F6AB967,PASS
ProgramObserverCommon.ps1,5102,6F3CCFD6DF0DE449196970DE2BC3F570F68E562DF29F18EB8E8800B04F1EAB66,6F3CCFD6DF0DE449196970DE2BC3F570F68E562DF29F18EB8E8800B04F1EAB66,PASS
r6_host_baseline_sample_readonly.sh,3719,5FA47F2150BC816F9075C16C152423F85F0BFAB1466A2859591BB137C12D4AFC,5FA47F2150BC816F9075C16C152423F85F0BFAB1466A2859591BB137C12D4AFC,PASS
Invoke-R6HostBaseline.ps1,9689,6E7DF2B1972D81A497E1B3B442D37F9FF82BD8C1E26B2AAC605DBE4AADDB188D,6E7DF2B1972D81A497E1B3B442D37F9FF82BD8C1E26B2AAC605DBE4AADDB188D,PASS
r6_prebootstrap_safety_readonly.sh,13540,89F9DE845E42766684A37C6518694CBD18953B8E30E1C95B82CA84A999E8EFBC,89F9DE845E42766684A37C6518694CBD18953B8E30E1C95B82CA84A999E8EFBC,PASS
Invoke-R6PreBootstrapSafetyDiscovery.ps1,5206,3B44CB557DD67E6684199D88A91BBDE812DCBDA97E02ABD591AACA2938D5784C,3B44CB557DD67E6684199D88A91BBDE812DCBDA97E02ABD591AACA2938D5784C,PASS
r6_post_reboot_preloader_readonly.sh,7419,5AB73A9D90DF96A0A3809499B6381437C0FFBB85EB2A87B152F0812F1B4402B9,5AB73A9D90DF96A0A3809499B6381437C0FFBB85EB2A87B152F0812F1B4402B9,PASS
r6_post_loader_readonly.sh,11776,0695281F1D212C1F90A31A6359F0D606F48AF67528D0F1E379009E72C04EEBD4,0695281F1D212C1F90A31A6359F0D606F48AF67528D0F1E379009E72C04EEBD4,PASS
Invoke-R6RemoteValidator.ps1,5218,65975474DCFD34129F16B90AFC81749BB405568BFBB4F28BB49EEBA5C6E6D7CC,65975474DCFD34129F16B90AFC81749BB405568BFBB4F28BB49EEBA5C6E6D7CC,PASS
Invoke-R6ExactPinnedLoaderOnce.ps1,3957,DE175629A945D02A772638221AF81C9C2FDC364C5990BC4BE5E5883802A8AF8B,DE175629A945D02A772638221AF81C9C2FDC364C5990BC4BE5E5883802A8AF8B,PASS
Invoke-R6WarmRebootOnce.ps1,2814,14E5B3DFF5BA0C73A0CCFC56052757EEEC69C1C726A9866C8C1ED8B15AF8A179,14E5B3DFF5BA0C73A0CCFC56052757EEEC69C1C726A9866C8C1ED8B15AF8A179,PASS
Wait-R6HostCycle.ps1,3000,BB1A4E7B10D22949FAE14B509E7945436C95CC91DAAB61F4A8BE98AD3EA07576,BB1A4E7B10D22949FAE14B509E7945436C95CC91DAAB61F4A8BE98AD3EA07576,PASS
Invoke-R6TelemetryReadOnly.ps1,2953,D8732544D1437622CB0877C2F85898010324A67BB778CF2A8F9B2271361ED283,D8732544D1437622CB0877C2F85898010324A67BB778CF2A8F9B2271361ED283,PASS
program_once_startup_high_done_r6_selected.tcl,4778,00B612413A5322C4FC94003BDF2E6E48318DA61D0D8362D028D70035B03C47AC,00B612413A5322C4FC94003BDF2E6E48318DA61D0D8362D028D70035B03C47AC,PASS
Invoke-R6ProgramPhaseOnce.ps1,12789,DCFAF6C83CCB828E6CB8DB18584FCBBD8083C14E61332E430B2AC783353DEA53,DCFAF6C83CCB828E6CB8DB18584FCBBD8083C14E61332E430B2AC783353DEA53,PASS
read_jtag_identity_done_r6_selected.tcl,2791,A1D967C7306F0C751DC5A41DE3A3D331A0CE92E36BB9430C7D99604FC8432D30,A1D967C7306F0C751DC5A41DE3A3D331A0CE92E36BB9430C7D99604FC8432D30,PASS
Invoke-R6IndependentDoneReadOnly.ps1,6060,35FCB94602EF6CA292412B3E2925C04783F53356936FCF6924260027F911CF3C,35FCB94602EF6CA292412B3E2925C04783F53356936FCF6924260027F911CF3C,PASS
