"fixture","expected_outcome","precondition","postprogram_classification","program_invocations_consumed","actual_outcome","result"
"B0","PASS","PASS","PASS_STARTUP_HIGH_DONE_1","1","PASS","PASS"
"B1","PASS","PASS","PASS_STARTUP_HIGH_DONE_1","1","PASS","PASS"
"B2","FAIL_BEFORE_PROGRAM","FAIL_UNREADABLE_OR_UNSTABLE_DONE","NOT_REACHED","0","FAIL_BEFORE_PROGRAM","PASS"
"B3","FAIL_BEFORE_PROGRAM","FAIL_UNREADABLE_OR_UNSTABLE_DONE","NOT_REACHED","0","FAIL_BEFORE_PROGRAM","PASS"
"B4","CONSUMED_ONE_FAIL_NO_RETRY","PASS","FAIL_OBSERVER_GATE","1","CONSUMED_ONE_FAIL_NO_RETRY","PASS"
"T0","PASS","PASS","PASS_STARTUP_HIGH_DONE_1","1","PASS","PASS"
"T1","FAIL_BEFORE_PROGRAM","FAIL_PROVEN_CONFIGURED_IMAGE_LOST","NOT_REACHED","0","FAIL_BEFORE_PROGRAM","PASS"
"T2","FAIL_BEFORE_PROGRAM","FAIL_MISSING_OR_INVALID_CONFIGURED_IMAGE_RECEIPT","NOT_REACHED","0","FAIL_BEFORE_PROGRAM","PASS"
"T3","FAIL_BEFORE_PROGRAM","FAIL_MISSING_OR_INVALID_CONFIGURED_IMAGE_RECEIPT","NOT_REACHED","0","FAIL_BEFORE_PROGRAM","PASS"
"C0","FAIL_DUPLICATE_PROGRAM_INVOCATION_MARKER","PASS","FAIL_OBSERVER_GATE","2","FAIL_DUPLICATE_PROGRAM_INVOCATION_MARKER","PASS"
"C1","FAIL_STATIC_BIT4_EOS_QUERY","NOT_APPLICABLE","STATIC_AUDIT","0","FAIL_STATIC_BIT4_EOS_QUERY","PASS"
"C2","FAIL_BEFORE_PROGRAM","FAIL_SELECTED_TARGET_MISMATCH","NOT_REACHED","0","FAIL_BEFORE_PROGRAM","PASS"
