"area","check","actual","expected","result"
"inputs","R6Observer exists","C:\FPGA\V41_NVP_R1E_SELECTED_NEW_JTAG_PAIRED_AB_R6\scripts\program_once_startup_high_done_r6_selected.tcl","existing regular file","PASS"
"inputs","R6Selector exists","C:\FPGA\V41_NVP_R1E_SELECTED_NEW_JTAG_PAIRED_AB_R6\scripts\select_r6_jtag_target.tcl","existing regular file","PASS"
"inputs","R6Parser exists","C:\FPGA\V41_NVP_R1E_SELECTED_NEW_JTAG_PAIRED_AB_R6\scripts\ProgramObserverCommon.ps1","existing regular file","PASS"
"inputs","ProgramTcl exists","C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\scripts\program_once_mode_aware.tcl","existing regular file","PASS"
"inputs","ProgramSupervisor exists","C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\scripts\Run-ProgramOnceModeAware.ps1","existing regular file","PASS"
"inputs","IndependentDoneTcl exists","C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\scripts\read_jtag_identity_done_r7_selected.tcl","existing regular file","PASS"
"inputs","WaitGate exists","C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\scripts\Wait-R7ProgramMinimumAfterIndependentDone.ps1","existing regular file","PASS"
"inputs","ReconfirmationTcl exists","C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\scripts\r7_jtag_reconfirmation_session.tcl","existing regular file","PASS"
"inputs","ReconfirmationSupervisor exists","C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\scripts\Invoke-R7JtagReconfirmation.ps1","existing regular file","PASS"
"inputs","FixtureTcl exists","C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\fixtures\test_mode_aware_preconditions.tcl","existing regular file","PASS"
"inputs","FixtureSupervisor exists","C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\fixtures\Invoke-R7ModeAwareObserverFixturesAndReplay.ps1","existing regular file","PASS"
"inputs","FixtureCsv exists","C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\02_MODE_AWARE_OBSERVER\MODE_AWARE_OBSERVER_FIXTURE_RESULTS.csv","existing regular file","PASS"
"inputs","Replay exists","C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\02_MODE_AWARE_OBSERVER\R6_REPLAY.md","existing regular file","PASS"
"inputs","ReplayHashes exists","C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\02_MODE_AWARE_OBSERVER\R6_REPLAY_INPUT_SHA256.txt","existing regular file","PASS"
"inputs","ObserverDiff exists","C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\02_MODE_AWARE_OBSERVER\R6_TO_R7_OBSERVER_DIFF.patch","existing regular file","PASS"
"hashes","R6Observer SHA-256","00B612413A5322C4FC94003BDF2E6E48318DA61D0D8362D028D70035B03C47AC","00B612413A5322C4FC94003BDF2E6E48318DA61D0D8362D028D70035B03C47AC","PASS"
"hashes","R6Selector SHA-256","3F315C44C17AF1E5293A314CAA3B0DA63BFAEC687D58E7DADE37BAAE394CD1DE","3F315C44C17AF1E5293A314CAA3B0DA63BFAEC687D58E7DADE37BAAE394CD1DE","PASS"
"hashes","R6Parser SHA-256","6F3CCFD6DF0DE449196970DE2BC3F570F68E562DF29F18EB8E8800B04F1EAB66","6F3CCFD6DF0DE449196970DE2BC3F570F68E562DF29F18EB8E8800B04F1EAB66","PASS"
"hashes","ProgramTcl SHA-256","55C3D1F36F815404A081F943B2C2383B3DD2A9E66CF3FBA0F44B5A11B95DA9C7","55C3D1F36F815404A081F943B2C2383B3DD2A9E66CF3FBA0F44B5A11B95DA9C7","PASS"
"hashes","ProgramSupervisor SHA-256","42C6A969A4CA27375C139CB60B4A1E5C33A58E987EB4A5C84DE7312CB9F4208D","42C6A969A4CA27375C139CB60B4A1E5C33A58E987EB4A5C84DE7312CB9F4208D","PASS"
"hashes","IndependentDoneTcl SHA-256","122C960412B7A8ADFD2926BE9A863A2786D4D022854AE8A0D56798461E0CD91B","122C960412B7A8ADFD2926BE9A863A2786D4D022854AE8A0D56798461E0CD91B","PASS"
"hashes","WaitGate SHA-256","B25B1EE5C8193D9CF1F75C88AD63BFA012343FCAE613D02BF6BAB2668300AEA2","B25B1EE5C8193D9CF1F75C88AD63BFA012343FCAE613D02BF6BAB2668300AEA2","PASS"
"hashes","ReconfirmationTcl SHA-256","6642F60F6D0FDF0208481C7A3CC25AC1127F981851BE7081CFFA3DF64860FF73","6642F60F6D0FDF0208481C7A3CC25AC1127F981851BE7081CFFA3DF64860FF73","PASS"
"hashes","ReconfirmationSupervisor SHA-256","095C9559663CF8FEE08DF6AC268DF9EF13C8E5954471C2CC9B3F06D32D80C6C1","095C9559663CF8FEE08DF6AC268DF9EF13C8E5954471C2CC9B3F06D32D80C6C1","PASS"
"hashes","FixtureTcl SHA-256","5B0B31150F593C3DE7D8C409DFBCBCD0053063FAD900DA6E04E597DDABC9B3A9","5B0B31150F593C3DE7D8C409DFBCBCD0053063FAD900DA6E04E597DDABC9B3A9","PASS"
"hashes","FixtureSupervisor SHA-256","89130007BE6B28FCCEFBA7391114F32D919282A26E0BF76C704D53BA8E584168","89130007BE6B28FCCEFBA7391114F32D919282A26E0BF76C704D53BA8E584168","PASS"
"program_tcl","exactly one program_hw_devices","1","1","PASS"
"program_tcl","exactly one PROGRAM.FILE assignment","1","1","PASS"
"program_tcl","no other design/program mutation command","0","0","PASS"
"program_tcl","no BIT4_EOS get_property query","0","0","PASS"
"program_tcl","no JTAG frequency assignment","0","0","PASS"
"program_tcl","five pre-program samples","present","set preprogram_sample_count 5","PASS"
"program_tcl","250 ms inter-sample delay","present","set preprogram_delay_ms 250","PASS"
"program_tcl","contains BOOTSTRAP_FROM_STABLE_UNKNOWN_SRAM","present-or-absent","present","PASS"
"program_tcl","contains TRANSITION_FROM_PROVEN_CONFIGURED_IMAGE","present-or-absent","present","PASS"
"program_tcl","contains FORMAL_READY_RECEIPT","present-or-absent","present","PASS"
"program_tcl","contains VALID_ARM_A_RECEIPT","present-or-absent","present","PASS"
"program_tcl","contains ARM_A_TERMINAL_SAFE_DONE1_RECEIPT","present-or-absent","present","PASS"
"program_tcl","contains FAIL_PROVEN_CONFIGURED_IMAGE_LOST","present-or-absent","present","PASS"
"program_tcl","contains FAIL_UNREADABLE_OR_UNSTABLE_DONE","present-or-absent","present","PASS"
"program_tcl","contains Xilinx/80802026a98b01","present-or-absent","present","PASS"
"program_tcl","contains xc7a35t","present-or-absent","present","PASS"
"program_tcl","contains 0362D093","present-or-absent","present","PASS"
"observer_delta","post-program Tcl block equality after newline normalization","True","True","PASS"
"observer_delta","R6 selector absolute source unchanged","present","present","PASS"
"powershell_parse","ProgramSupervisor parse errors","0","0","PASS"
"powershell_parse","WaitGate parse errors","0","0","PASS"
"powershell_parse","ReconfirmationSupervisor parse errors","0","0","PASS"
"powershell_parse","FixtureSupervisor parse errors","0","0","PASS"
"program_supervisor","pins current program Tcl SHA","present","55C3D1F36F815404A081F943B2C2383B3DD2A9E66CF3FBA0F44B5A11B95DA9C7","PASS"
"program_supervisor","pins frozen observer parser SHA","present","6F3CCFD6DF0DE449196970DE2BC3F570F68E562DF29F18EB8E8800B04F1EAB66","PASS"
"program_supervisor","pins frozen target selector SHA","present","3F315C44C17AF1E5293A314CAA3B0DA63BFAEC687D58E7DADE37BAAE394CD1DE","PASS"
"program_supervisor","single process start call","1","1","PASS"
"program_supervisor","success remains pending independent DONE and wait","present","present","PASS"
"program_supervisor","immutable timing receipt status","present","present","PASS"
"program_supervisor","explicit no-retry receipt","present","present","PASS"
"program_supervisor","fresh fixed program timing receipt","present","present","PASS"
"independent_done","zero program commands","0","0","PASS"
"independent_done","one refresh command","1","1","PASS"
"independent_done","exact selected target and DONE gate","present","present","PASS"
"independent_done","no mutation or frequency command","0","0","PASS"
"wait_gate","pins independent DONE Tcl SHA","present","122C960412B7A8ADFD2926BE9A863A2786D4D022854AE8A0D56798461E0CD91B","PASS"
"wait_gate","requires immediate DONE stage","present","present","PASS"
"wait_gate","requires program and independent receipt hashes","present","present","PASS"
"wait_gate","requires matching Stopwatch frequency","2","2","PASS"
"wait_gate","later-of return and same-session DONE verified","present","present","PASS"
"wait_gate","independent session ordered after program marker","present","present","PASS"
"wait_gate","fresh fixed wait receipt","present","present","PASS"
"reconfirmation","zero programming commands","0","0","PASS"
"reconfirmation","zero mutation commands","0","0","PASS"
"reconfirmation","five samples","present","set sample_count 5","PASS"
"reconfirmation","500 ms inter-sample delay","present","set inter_sample_delay_ms 500","PASS"
"reconfirmation","DONE accepts only readable 0 or 1","present","present","PASS"
"reconfirmation","frozen target identity","present","present","PASS"
"reconfirmation","supervisor pins reconfirmation Tcl SHA","present","6642F60F6D0FDF0208481C7A3CC25AC1127F981851BE7081CFFA3DF64860FF73","PASS"
"reconfirmation","aggregate fixed gate contract","present","present","PASS"
"reconfirmation","fresh evidence enforced","present","present","PASS"
"fixtures","B0-B4/T0-T3/C0-C2 complete and passing","12 rows","12 named PASS rows","PASS"
"r6_replay","R6_REPLAY_PREPROGRAM_DONE=STABLE_0","present-or-absent","present","PASS"
"r6_replay","R6_OLD_OBSERVER_CLASSIFICATION=BLOCKED_PREPROGRAM_DONE_NOT_1","present-or-absent","present","PASS"
"r6_replay","R7_BOOTSTRAP_PRECONDITION_REPLAY=PASS_STABLE_DONE_0_ACCEPTED","present-or-absent","present","PASS"
"r6_replay","R6_FPGA_PROGRAMS_REMAIN=0","present-or-absent","present","PASS"
"r6_replay","R6_REPLAY=PASS_EXPECTED_CONTRACT_DIFFERENCE","present-or-absent","present","PASS"
"r6_replay","replay binds final R7 observer hash","present","55C3D1F36F815404A081F943B2C2383B3DD2A9E66CF3FBA0F44B5A11B95DA9C7","PASS"
"observer_delta","unified R6-to-R7 patch exists","valid unified diff","valid unified diff","PASS"
