arm,record_index,raw,operation_index,phase_code,phase_name,register_hex,data_hex,physical_bank_hex,metadata_bank_hex,valid,physical_bank_valid
A,0,0x0003000000440229,41,2,REGISTER_ADDRESS_ACK,0x44,0x00,0x00,0x00,1,1
A,1,0x0003000000440329,41,3,DATA_ACK,0x44,0x00,0x00,0x00,1,1
A,2,0x000305053026013B,59,1,WRITE_ADDRESS_ACK,0x26,0x30,0x05,0x05,1,1
A,3,0x000305053026023B,59,2,REGISTER_ADDRESS_ACK,0x26,0x30,0x05,0x05,1,1
A,4,0x000305053026033B,59,3,DATA_ACK,0x26,0x30,0x05,0x05,1,1
A,5,0x0003020900FF0156,86,1,WRITE_ADDRESS_ACK,0xFF,0x00,0x09,0x02,1,1
A,6,0x0003020900FF0256,86,2,REGISTER_ADDRESS_ACK,0xFF,0x00,0x09,0x02,1,1
A,7,0x0003000018A00169,105,1,WRITE_ADDRESS_ACK,0xA0,0x18,0x00,0x00,1,1
B,0,0x0003050584500230,48,2,REGISTER_ADDRESS_ACK,0x50,0x84,0x05,0x05,1,1
B,1,0x0003050584500330,48,3,DATA_ACK,0x50,0x84,0x05,0x05,1,1
B,2,0x0003010100C80292,146,2,REGISTER_ADDRESS_ACK,0xC8,0x00,0x01,0x01,1,1
B,3,0x0003010100C80392,146,3,DATA_ACK,0xC8,0x00,0x01,0x01,1,1
B,4,0x00030909C35602CA,202,2,REGISTER_ADDRESS_ACK,0x56,0xC3,0x09,0x09,1,1
B,5,0x00030909C35603CA,202,3,DATA_ACK,0x56,0xC3,0x09,0x09,1,1
B,6,0x00030909525B01CF,207,1,WRITE_ADDRESS_ACK,0x5B,0x52,0x09,0x09,1,1
B,7,0x00030909525B02CF,207,2,REGISTER_ADDRESS_ACK,0x5B,0x52,0x09,0x09,1,1
