name,width,reference_width,candidate_width
attempt_limit_status,3,3,3
block_read_nack_count,32,32,32
current_scheduler_phase,2,2,2
data_adjacent_nack_pairs,32,32,32
data_first_nack_index,16,16,16
data_last_nack_index,16,16,16
data_max_consecutive_nacks,32,32,32
data_nack_index_overflow,1,1,1
data_nack_index_stored_count,16,16,16
data_prereq_regaddr_acks,32,32,32
data_prereq_regaddr_nacks,32,32,32
data_prereq_regaddr_opportunities,32,32,32
data_prereq_waddr_acks,32,32,32
data_prereq_waddr_nacks,32,32,32
data_prereq_waddr_opportunities,32,32,32
data_run_count,32,32,32
data_target_acks,32,32,32
data_target_nacks,32,32,32
data_target_opportunities,32,32,32
data_timeouts,32,32,32
data_transaction_attempts,32,32,32
entry_bank,8,8,8
entry_bank_valid,1,1,1
final_bus_idle,1,1,1
legacy_bus_idle_qualified,1,1,1
legacy_bus_idle_timeout,1,1,1
legacy_guard_complete,1,1,1
legacy_init_done_seen,1,1,1
legacy_scl_timeout,1,1,1
original_bank_restore_verified,1,1,1
original_bank_restored,1,1,1
probe_abort_code,8,8,8
probe_aborted,1,1,1
probe_active,1,1,1
probe_done,1,1,1
probe_done_freerun,48,48,48
probe_restore_failure_code,8,8,8
probe_scl_release,1,1,1
probe_sda_release,1,1,1
probe_start_freerun,48,48,48
probe_status,32,32,32
probe_terminal,1,1,1
probe_timeout_count_total,32,32,32
regaddr_adjacent_nack_pairs,32,32,32
regaddr_first_nack_index,16,16,16
regaddr_last_nack_index,16,16,16
regaddr_max_consecutive_nacks,32,32,32
regaddr_nack_index_overflow,1,1,1
regaddr_nack_index_stored_count,16,16,16
regaddr_prereq_waddr_acks,32,32,32
regaddr_prereq_waddr_nacks,32,32,32
regaddr_prereq_waddr_opportunities,32,32,32
regaddr_run_count,32,32,32
regaddr_target_acks,32,32,32
regaddr_target_nacks,32,32,32
regaddr_target_opportunities,32,32,32
regaddr_timeouts,32,32,32
regaddr_transaction_attempts,32,32,32
restored_bank_readback,8,8,8
restored_bank_readback_valid,1,1,1
round_robin_scheduler_rounds,32,32,32
safe_bank_readback,8,8,8
safe_bank_readback_valid,1,1,1
safe_bank_select_write_ok,1,1,1
safe_bank_verify_ok,1,1,1
safe_target_post_ok,1,1,1
safe_target_post_valid,1,1,1
safe_target_post_value,8,8,8
safe_target_pre_ok,1,1,1
safe_target_pre_valid,1,1,1
safe_target_pre_value,8,8,8
waddr_adjacent_nack_pairs,32,32,32
waddr_first_nack_index,16,16,16
waddr_last_nack_index,16,16,16
waddr_max_consecutive_nacks,32,32,32
waddr_nack_index_overflow,1,1,1
waddr_nack_index_stored_count,16,16,16
waddr_run_count,32,32,32
waddr_target_acks,32,32,32
waddr_target_nacks,32,32,32
waddr_target_opportunities,32,32,32
waddr_timeouts,32,32,32
waddr_transaction_attempts,32,32,32
