record_type,role,source_path,source_sha256,git_blob,module_or_entity,declaration_count_in_exact_production_set,source_file_count_in_executable_list,source_file_count_in_saved_xpr,executable_list_zero_based_position,saved_xpr_zero_based_position,file_type,library,saved_project_used_in_synthesis,instantiated_by,instantiation_site,syntactic_instantiation_count,generated_architectural_instance_count,external_order_sensitive_dependency,conclusion
DESIGN_UNIT,probe_index_wrapper,rtl/v41/r1h_probe_index_bram_store.sv,67410872DE78C7C48531E96E831E82ED5D97AF2EDF42F34C4FADB2C7EAE8433F,3da4db3ad15266cd1ca79c06196253f35a8cad92,r1h_probe_index_bram_store,1,1,1,4,15,SystemVerilog,xil_defaultlib,YES,nvp_i2c_tri_phase_probe,rtl/v41/nvp_i2c_tri_phase_probe.sv:687,1,1,NO,ordinary_named_module_binding_not_relative_file_order
DESIGN_UNIT,probe_consumer,rtl/v41/nvp_i2c_tri_phase_probe.sv,D459FC7AE6D72F1B604974CADDF4D633468334D9D488818746A0C0B5EE22B4DD,6fe85f2f92c1fba061279b815663a807a0931fcb,nvp_i2c_tri_phase_probe,1,1,1,5,7,SystemVerilog,xil_defaultlib,YES,ahd_capture_top_xdma,rtl/top/ahd_capture_top_xdma.sv:222-228,1,1,NO,ordinary_named_module_binding_not_relative_file_order
DESIGN_UNIT,failed_record_wrapper,rtl/v41/r1f_failed_txn_logger.sv,F8B11E29D99E6FA548899681C2A9A3D76144DB3EAC73BFBDE599462E488C7761,6325774f4c85942a49f4e1e35fd1e7afd8af0ed6,v41_r1f_failed_txn_logger,1,1,1,6,12,SystemVerilog,xil_defaultlib,YES,ahd_capture_top_xdma,rtl/top/ahd_capture_top_xdma.sv:376,1,1,NO,ordinary_named_module_binding_not_relative_file_order
DESIGN_UNIT,measurement_registers,rtl/v41/r1f_measurement_regs.sv,EC246486BD0F5DF0966F6DC81BC8A8EAC17741E2641F8DFE68E276EDBE567542,74489fda243e33e74aa59da360b5bd5b2f219f10,v41_r1f_measurement_regs,1,1,1,7,13,SystemVerilog,xil_defaultlib,YES,ahd_capture_top_xdma,rtl/top/ahd_capture_top_xdma.sv:786,1,1,NO,ordinary_named_module_binding_not_relative_file_order
DESIGN_UNIT,formal_zero_model_same_file,rtl/v41/r1f_measurement_regs.sv,EC246486BD0F5DF0966F6DC81BC8A8EAC17741E2641F8DFE68E276EDBE567542,74489fda243e33e74aa59da360b5bd5b2f219f10,v41_r1f_formal_zero_model,1,1,1,7,13,SystemVerilog,xil_defaultlib,YES,not_in_R1h_production_top,not_applicable,0,0,NO,separate_unique_design_unit_in_same_source
DESIGN_UNIT,mmio_read_service,rtl/v41/r1h_mmio_read_service.sv,00ECE27375BE07D52E8FA4BF07F535AB29DC39A099AF4FC148BF654E0073BA2B,9ac1f56acfbd72577eae7a8c198ea7fbea0e2c09,v41_r1h_mmio_read_service,1,1,1,8,14,SystemVerilog,xil_defaultlib,YES,ahd_capture_top_xdma,rtl/top/ahd_capture_top_xdma.sv:852,1,1,NO,ordinary_named_module_binding_not_relative_file_order
DESIGN_UNIT,control_status_consumer,rtl/v41/control_status_regs.sv,FAD14CD8E56BCE583FDD643C1828D03A6673ADE22A0B66EE0ED490C48C0F33DD,0a6141c1809e408ad69179de63c29a5aa1263022,v41_control_status_regs,1,1,1,9,6,SystemVerilog,xil_defaultlib,YES,ahd_capture_top_xdma,rtl/top/ahd_capture_top_xdma.sv:939,1,1,NO,ordinary_named_module_binding_not_relative_file_order
DESIGN_UNIT,production_top,rtl/top/ahd_capture_top_xdma.sv,D37A7ECC4C4335149428A75FFE71E0C2FA128F69AEA8E0781658DD22ED65623E,1e34f9299000147b6028c731ab0dc2252f56f43e,ahd_capture_top_xdma,1,1,1,16,21,SystemVerilog,xil_defaultlib,YES,project_top,project_sources_1_top_property,1,1,NO,top_binding_is_semantic_not_relative_file_order
GENERATE_INSTANCE,failed_record_payload_banks,rtl/v41/r1f_failed_txn_logger.sv,F8B11E29D99E6FA548899681C2A9A3D76144DB3EAC73BFBDE599462E488C7761,6325774f4c85942a49f4e1e35fd1e7afd8af0ed6,xpm_memory_sdpram,external_XPM_library,1,1,6,12,SystemVerilog,XPM_MEMORY,YES,v41_r1f_failed_txn_logger,rtl/v41/r1f_failed_txn_logger.sv:78-102,1,6,NO,constant_generate_creates_six_payload_bank_instances
GENERATE_INSTANCE,probe_index_payload_banks,rtl/v41/r1h_probe_index_bram_store.sv,67410872DE78C7C48531E96E831E82ED5D97AF2EDF42F34C4FADB2C7EAE8433F,3da4db3ad15266cd1ca79c06196253f35a8cad92,xpm_memory_sdpram,external_XPM_library,1,1,4,15,SystemVerilog,XPM_MEMORY,YES,r1h_probe_index_bram_store,rtl/v41/r1h_probe_index_bram_store.sv:64-88,1,3,NO,constant_generate_creates_three_payload_bank_instances

