ordinal,role,language,library,relative_path,used_for_synthesis,preflight_only,notes
1,production,VHDL,work,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,YES,NO,Exact production package first
2,production,VHDL,work,rtl/nvp/r1f_transaction_serial_counter.vhd,YES,NO,Exact production entity
3,production,VHDL,work,rtl/nvp/nvp6134c_i2c_bringup.vhd,YES,NO,Exact production entity
4,production,VHDL,work,rtl/nvp/nvp6134c_autoinit.vhd,YES,NO,Exact production entity
5,production,SystemVerilog,work,rtl/v41/axi_lite_host_bridge.sv,YES,NO,Exact executable build source list
6,production,SystemVerilog,work,rtl/v41/axi_clock_lifecycle_monitor.sv,YES,NO,Exact executable build source list
7,production,SystemVerilog,work,rtl/v41/axi_clock_measurement_regs.sv,YES,NO,Exact executable build source list
8,production,SystemVerilog,work,rtl/v41/r1e_measurement_regs.sv,YES,NO,Exact executable build source list
9,production,SystemVerilog,work,rtl/v41/r1h_probe_index_bram_store.sv,YES,NO,Probe-index payload wrapper
10,production,SystemVerilog,work,rtl/v41/nvp_i2c_tri_phase_probe.sv,YES,NO,Probe consumer
11,production,SystemVerilog,work,rtl/v41/r1f_failed_txn_logger.sv,YES,NO,Failed-record wrapper with six banks
12,production,SystemVerilog,work,rtl/v41/r1f_measurement_regs.sv,YES,NO,Diagnostic register decoder
13,production,SystemVerilog,work,rtl/v41/r1h_mmio_read_service.sv,YES,NO,Synchronous one-outstanding service
14,production,SystemVerilog,work,rtl/v41/control_status_regs.sv,YES,NO,Control/status consumer
15,production,SystemVerilog,work,rtl/pio/pio_slot_adapter.sv,YES,NO,Exact executable build source list
16,production,SystemVerilog,work,rtl/pio/pio_bar_target.sv,YES,NO,Exact executable build source list
17,production,SystemVerilog,work,rtl/record/bt656_record_producer.sv,YES,NO,Exact executable build source list
18,production,SystemVerilog,work,rtl/record/capture_mailbox.sv,YES,NO,Exact executable build source list
19,production,SystemVerilog,work,rtl/video/video_capture.sv,YES,NO,Exact executable build source list
20,production,SystemVerilog,work,rtl/video/physical_frontend.sv,YES,NO,Exact executable build source list
21,production,SystemVerilog,work,rtl/top/ahd_capture_top_xdma.sv,YES,NO,Exact top ahd_capture_top_xdma
22,simulation-support,SystemVerilog,work,tests/v41/xdma_v41_m1_elaboration_stub.sv,NO,YES,Accepted simulation-only XDMA port-contract stub
23,simulation-support,Verilog,work,C:/AMDDesignTools/2025.2/data/verilog/src/glbl.v,NO,YES,Installed Vivado global simulation module
