run,family,category,count
A1,HIGH_LEVEL_PHASE,PH_INIT,7
A1,TRANSACTION_KIND,INIT_BANK_SELECT_WRITE,1
A1,TRANSACTION_KIND,INIT_TARGET_WRITE,6
A1,PHASE_NACK_BITMAP,0x4,2
A1,PHASE_NACK_BITMAP,0x6,2
A1,PHASE_NACK_BITMAP,0x7,3
A1,TABLE_SLOT,1,1
A1,TABLE_SLOT,140,1
A1,TABLE_SLOT,37,1
A1,TABLE_SLOT,38,1
A1,TABLE_SLOT,44,1
A1,TABLE_SLOT,61,1
A1,TABLE_SLOT,80,1
A1,REQUESTED_BANK,0,2
A1,REQUESTED_BANK,1,2
A1,REQUESTED_BANK,5,2
A1,REQUESTED_BANK,9,1
A1,VALID_PHYSICAL_BANK_BEFORE,0,3
A1,VALID_PHYSICAL_BANK_BEFORE,1,1
A1,VALID_PHYSICAL_BANK_BEFORE,5,2
A1,VALID_PHYSICAL_BANK_BEFORE,9,1
A2,HIGH_LEVEL_PHASE,PH_INIT,2
A2,HIGH_LEVEL_PHASE,PH_OUT_READ,1
A2,HIGH_LEVEL_PHASE,PH_WIN_READ,2
A2,TRANSACTION_KIND,INIT_TARGET_WRITE,2
A2,TRANSACTION_KIND,OUTPUT_REGISTER_READ,1
A2,TRANSACTION_KIND,WINDOW_REGISTER_READ,2
A2,PHASE_NACK_BITMAP,0x2,1
A2,PHASE_NACK_BITMAP,0x3,1
A2,PHASE_NACK_BITMAP,0x6,2
A2,PHASE_NACK_BITMAP,0x8,1
A2,TABLE_SLOT,166,1
A2,TABLE_SLOT,65535,3
A2,TABLE_SLOT,88,1
A2,REQUESTED_BANK,0,3
A2,REQUESTED_BANK,1,1
A2,REQUESTED_BANK,2,1
A2,VALID_PHYSICAL_BANK_BEFORE,0,3
A2,VALID_PHYSICAL_BANK_BEFORE,1,1
A2,VALID_PHYSICAL_BANK_BEFORE,2,1
A3,HIGH_LEVEL_PHASE,PH_INIT,5
A3,TRANSACTION_KIND,INIT_BANK_VERIFY_READ,1
A3,TRANSACTION_KIND,INIT_TARGET_WRITE,4
A3,PHASE_NACK_BITMAP,0x3,1
A3,PHASE_NACK_BITMAP,0x4,2
A3,PHASE_NACK_BITMAP,0x7,2
A3,TABLE_SLOT,149,1
A3,TABLE_SLOT,192,1
A3,TABLE_SLOT,210,1
A3,TABLE_SLOT,33,1
A3,TABLE_SLOT,39,1
A3,REQUESTED_BANK,0,3
A3,REQUESTED_BANK,9,2
A3,VALID_PHYSICAL_BANK_BEFORE,0,2
A3,VALID_PHYSICAL_BANK_BEFORE,5,1
A3,VALID_PHYSICAL_BANK_BEFORE,9,2
