name,path,bytes,sha256,use
ModeAwareProgramObserver,C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\scripts\program_once_mode_aware.tcl,11334,55C3D1F36F815404A081F943B2C2383B3DD2A9E66CF3FBA0F44B5A11B95DA9C7,PROGRAM_ONCE
ProgramObserverParser,C:\FPGA\V41_NVP_R1E_SELECTED_NEW_JTAG_PAIRED_AB_R6\scripts\ProgramObserverCommon.ps1,5102,6F3CCFD6DF0DE449196970DE2BC3F570F68E562DF29F18EB8E8800B04F1EAB66,PROGRAM_RESULT_GATE
SelectedTargetSelector,C:\FPGA\V41_NVP_R1E_SELECTED_NEW_JTAG_PAIRED_AB_R6\scripts\select_r6_jtag_target.tcl,5676,3F315C44C17AF1E5293A314CAA3B0DA63BFAEC687D58E7DADE37BAAE394CD1DE,EXACT_TARGET
IndependentDoneTcl,C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\scripts\read_jtag_identity_done_r7_selected.tcl,3527,122C960412B7A8ADFD2926BE9A863A2786D4D022854AE8A0D56798461E0CD91B,READ_ONLY_DONE
JtagReconfirmationTcl,C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\scripts\r7_jtag_reconfirmation_session.tcl,6368,6642F60F6D0FDF0208481C7A3CC25AC1127F981851BE7081CFFA3DF64860FF73,READ_ONLY_TARGET_GATE
ContextualPlink,C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\scripts\Invoke-ContextualPlink.ps1,10952,5AB2E265C494DC4A93E087E52A32D102302070B1DF68B344C01640237A483EC9,CREDENTIAL_HOSTKEY_PROCEDURE
BarParser,C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\scripts\parse_pci_bars.py,3380,5F7A6BDBF498720E1B40C54AB71A7E86BBD43AF1758AB207CF7EEBA65B15A922,BAR_GEOMETRY
PreLoaderValidator,C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\scripts\r7_post_reboot_preloader_readonly.sh,7419,21748CA9D698B2657862F8EB423DD00D9151A5FB501C18385B7F4B8470B3163D,POST_REBOOT_READ_ONLY
FormalTelemetryReader,C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\scripts\read_nvp_r1e.py,8385,0BE8AD0ECEF0FC333FEDFFAC9C7D94D2851E7FC319EEB88579D7EA3B2AEA7037,FORMAL_ESSENTIAL_TELEMETRY
R1hReader,C:\FPGA\WORKTREES\V41_NVP_R1H_BRAM_BACKED_LARGE_SAMPLE\scripts\v41\read_nvp_r1f.py,46868,5BDE0B94E8817DA9EC92FBE8BF7149E93C631E348FCD0B395D4EA539EC2A734C,R1H_FULL_TWO_SNAPSHOTS
R1hStatistics,C:\FPGA\WORKTREES\V41_NVP_R1H_BRAM_BACKED_LARGE_SAMPLE\scripts\v41\r1f_statistics.py,38404,C0188FF2AB7AC03034DAA7F412F447E3DBC21C15FB5458B126C0A96FEB771CCD,FROZEN_ANALYSIS
FormalBit,C:\FPGA\V41_NVP_R1E_MODE_AWARE_DONE0_PAIRED_AB_R7\01_ARTIFACT_IDENTITY\artifacts\ahd_capture_v41_phase2_p1.bit,2192144,7E4E909D78C2BE5C1E0ECA56229F2B88ECC2DBF5974B32BDF07EF1AFCD9449A2,MANDATORY_BOOTSTRAP_AND_B_ARMS
Plink084,C:\FPGA\T1_RCA_PUTTY_CONTROL_20260820\00_PUTTY\putty-0.84-w64\plink.exe,1043072,E5621FFE4879F0EC39ED40F688DB9399C2D43054D41EF14472FA335C4693B915,SSH_TRANSPORT
VivadoLauncher,C:\AMDDesignTools\2025.2\Vivado\bin\vivado.bat,1263,4F9C05AEA82A71C7086A9E5EDF01BA16EA70255F69CF3420C58B805EC113E994,JTAG_LAUNCHER
VivadoSettings,C:\AMDDesignTools\2025.2\Vivado\settings64.bat,779,4E33A3CAECB999C71E92A9A2804170C5A6B71EDF997578AA069AEC65131B50BA,JTAG_ENVIRONMENT
