"name","path","bytes","sha256","parse"
"R1hCampaignCommon.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\R1hCampaignCommon.ps1","19149","A0B930627E79D1FBF31080F21AF778238BEBAEB4F49AC9D5D93442BE55E87366","PASS"
"Invoke-R1hProgramOnce.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Invoke-R1hProgramOnce.ps1","16416","2BA90B0DDC72C06D892D504AC32DC76C94EF698E55290FC4AB46EA38FFDFE3C2","PASS"
"Invoke-R1hIndependentDoneReadOnly.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Invoke-R1hIndependentDoneReadOnly.ps1","7553","042BFD6134A232FD2BBFED8F36E5556961369D99D0DA5A18F3F8533D590E9D2F","PASS"
"Wait-R1hProgramMinimum.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Wait-R1hProgramMinimum.ps1","5470","F13A8F3F68B58477022D211F78C063C39ED8E6A45688486F02651E0F8A6AF0E9","PASS"
"Invoke-R1hHostStep.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Invoke-R1hHostStep.ps1","11065","B1CA459474E7378E6A329245ECC72689BC08716344B39D6AF8075ADC7460E5B3","PASS"
"Invoke-R1hTelemetryReadOnly.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Invoke-R1hTelemetryReadOnly.ps1","4668","DEFE8C60DE4E2E80AB38E9905B1811B033684C9F234E3D1EB0DB0C05D1D24030","PASS"
"New-R1hConfiguredImageReceipt.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\New-R1hConfiguredImageReceipt.ps1","7277","17DEDA8EA5450EA653381607D52E03D93AB0D7F988867490E8CFF02C3DE870DB","PASS"
"Invoke-R1hR4JtagSafetyReadOnly.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Invoke-R1hR4JtagSafetyReadOnly.ps1","5589","E54E9EB3C55F908DF14B04D8863BEDD5B8B8CE6861A134878E6D869770FAB9A1","PASS"
"Invoke-R1hR4MinimalHostSafetyReadOnly.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Invoke-R1hR4MinimalHostSafetyReadOnly.ps1","4542","F633F0A8C2C5073E8314837CD1D30A22AABE1DC43392802CDF20D2A01875AB13","PASS"
"New-R1hR4HardwareBinding.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\New-R1hR4HardwareBinding.ps1","8852","9E85A59B3BAC013252B1556D8E36B4638FCE0E74B80504FE5D4B624590123B0D","PASS"
"Invoke-R1hR4EligibleProgramRetryOnce.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Invoke-R1hR4EligibleProgramRetryOnce.ps1","7963","11D5A7157368030A418094C719F39409040E81C06019B523F4332891FB0A5E13","PASS"
"Test-R1hR4HardwarePrepOffline.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Test-R1hR4HardwarePrepOffline.ps1","5098","C6506ACD006EDA42BDD2A00A048A1649ECCF80C2D6F3151704AF436A7E528CEB","PASS"
