"name","path","bytes","sha256","parse"
"R1hCampaignCommon.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\R1hCampaignCommon.ps1","19216","463C6EF11B4415C9EDBC8351F18548EB42EEB44682CF12C805C2AB0D3DA786B3","PASS"
"Invoke-R1hProgramOnce.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Invoke-R1hProgramOnce.ps1","16769","4FA1088D8FCADE7F2570CA9F095C05C53AA0FD22D17223F8888ABD7525B29701","PASS"
"Invoke-R1hIndependentDoneReadOnly.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Invoke-R1hIndependentDoneReadOnly.ps1","7553","042BFD6134A232FD2BBFED8F36E5556961369D99D0DA5A18F3F8533D590E9D2F","PASS"
"Wait-R1hProgramMinimum.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Wait-R1hProgramMinimum.ps1","5470","F13A8F3F68B58477022D211F78C063C39ED8E6A45688486F02651E0F8A6AF0E9","PASS"
"Invoke-R1hHostStep.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Invoke-R1hHostStep.ps1","11065","B1CA459474E7378E6A329245ECC72689BC08716344B39D6AF8075ADC7460E5B3","PASS"
"Invoke-R1hTelemetryReadOnly.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Invoke-R1hTelemetryReadOnly.ps1","7293","2D386B7274A4D1C596E0A64D797AA85CD6B4971B7E2F29C8E6E48CB141D50429","PASS"
"New-R1hConfiguredImageReceipt.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\New-R1hConfiguredImageReceipt.ps1","7385","DF44E01C7B52BB5CCC33DB9B97FA0B3353B0DAD58853D6FECCF971A95F49140D","PASS"
"Invoke-R1hR4JtagSafetyReadOnly.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Invoke-R1hR4JtagSafetyReadOnly.ps1","5589","E54E9EB3C55F908DF14B04D8863BEDD5B8B8CE6861A134878E6D869770FAB9A1","PASS"
"Invoke-R1hR4MinimalHostSafetyReadOnly.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Invoke-R1hR4MinimalHostSafetyReadOnly.ps1","4542","F633F0A8C2C5073E8314837CD1D30A22AABE1DC43392802CDF20D2A01875AB13","PASS"
"New-R1hR4HardwareBinding.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\New-R1hR4HardwareBinding.ps1","8852","9E85A59B3BAC013252B1556D8E36B4638FCE0E74B80504FE5D4B624590123B0D","PASS"
"Invoke-R1hR4EligibleProgramRetryOnce.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Invoke-R1hR4EligibleProgramRetryOnce.ps1","7963","11D5A7157368030A418094C719F39409040E81C06019B523F4332891FB0A5E13","PASS"
"New-R1hR4ImplementationLaunchRelease.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\New-R1hR4ImplementationLaunchRelease.ps1","11138","6BA2F8F9FEF3403BAF871B93A6819B80DF82027A01E1F1B7F42A6B17A791825D","PASS"
"Recover-R1hR4JtagSafetyReceiptFromCompletedSession.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Recover-R1hR4JtagSafetyReceiptFromCompletedSession.ps1","4807","3F5462FCADAF6D09552A34C0690EA83889F9022C4A92016A8DEB24F8CE76C145","PASS"
"Recover-R1hR4BootstrapProgramReceipts.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Recover-R1hR4BootstrapProgramReceipts.ps1","14208","ADCCDBE88138606C87EDD94BBCED3F683A3185B3E1D37A7CA07E960E6FD7CDE2","PASS"
"Recover-R1hR4A1ProgramReceipts.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Recover-R1hR4A1ProgramReceipts.ps1","12726","1A28B84BD358B398774D6EDD0B7A717CD1E909BAC1BFD09D24DCEBFFEDCC1F9E","PASS"
"Recover-R1hR4B1TimingReceipt.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Recover-R1hR4B1TimingReceipt.ps1","8492","5FD8F5BE4398ADFCE312F539B9AD2395D6C41989340E71CBAD383BD18CDE679E","PASS"
"Test-R1hR4HardwarePrepOffline.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Test-R1hR4HardwarePrepOffline.ps1","5890","A7A679BCD62746BD39D1F532D62FD6E22CFFC47169192017D3448AD1B877AB6A","PASS"
"Test-R1hR4WrapperRecoveryOffline.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Test-R1hR4WrapperRecoveryOffline.ps1","9888","F1C4B7543A888F1B7B52A6AC03A7C233C921270F457716DD9332E90ED1C1FCA2","PASS"
"Test-R1hR4A1RecoveryOffline.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Test-R1hR4A1RecoveryOffline.ps1","7389","A835BF1D35349F87BE2EF19ED6E08E3B7172E24BCB303B3BD160CF800C85D192","PASS"
"Test-R1hR4B1RecoveryOffline.ps1","C:\FPGA\V41_NVP_R1H_R4_SUPER_FAST\scripts\Test-R1hR4B1RecoveryOffline.ps1","6682","0934C2FE734C7C2362C938D40C8F668B0B695014BC3787E5B0462EB9B701CDFA","PASS"
