role,path_class,delay_type,status,path_count,path_index,startpoint,end_point,path_group,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,slack_ns,requirement_ns,is_unconstrained,routable_nets
"R1","SCL_OEN_REGISTER_Q_TO_IOBUF_T","max","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"R1","SCL_OEN_REGISTER_Q_TO_IOBUF_T","min","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"R1","SCL_CONTROL_TO_OEN_REGISTER_D","max","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/FSM_onehot_state_reg[11]/C","NVP_AUTOINIT/u_sequence/scl_oen_r_reg/D","NOT_AVAILABLE","6.077","NOT_AVAILABLE","NOT_AVAILABLE","3","9.769","16.000","NOT_AVAILABLE","3"
"R1","SCL_CONTROL_TO_OEN_REGISTER_D","min","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/scl_oen_r_reg/C","NVP_AUTOINIT/u_sequence/scl_oen_r_reg/D","NOT_AVAILABLE","0.528","NOT_AVAILABLE","NOT_AVAILABLE","1","0.437","0.000","NOT_AVAILABLE","1"
"R1","SCL_CONTROL_TO_OEN_REGISTER_CE","max","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"R1","SCL_CONTROL_TO_OEN_REGISTER_CE","min","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"R1","SCL_IOBUF_O_TO_FIRST_SYNC_D","max","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"R1","SCL_IOBUF_O_TO_FIRST_SYNC_D","min","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"R1","SCL_SYNC0_Q_TO_SYNC1_D","max","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[0]/C","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/D","NOT_AVAILABLE","0.523","NOT_AVAILABLE","NOT_AVAILABLE","0","15.354","16.000","NOT_AVAILABLE","1"
"R1","SCL_SYNC0_Q_TO_SYNC1_D","min","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[0]/C","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/D","NOT_AVAILABLE","0.196","NOT_AVAILABLE","NOT_AVAILABLE","0","0.125","0.000","NOT_AVAILABLE","1"
"R1","SCL_SYNC1_TO_FILTER_LOGIC","max","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/C","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/D","NOT_AVAILABLE","1.178","NOT_AVAILABLE","NOT_AVAILABLE","1","14.812","16.000","NOT_AVAILABLE","1"
