name,direction,package_pin,bank,iostandard,drive,slew,pulltype,diff_term,in_term,loc
"nvp_en_vdd1x","OUT","A9","","LVCMOS33","12","SLOW","","0","NONE","IOB_X0Y93"
"nvp_en_vdd3x","OUT","A10","","LVCMOS33","12","SLOW","","0","NONE","IOB_X0Y89"
"nvp_mpp[0]","IN","V16","","LVCMOS33","","","","0","NONE","IOB_X0Y14"
"nvp_mpp[1]","IN","V17","","LVCMOS33","","","","0","NONE","IOB_X0Y13"
"nvp_mpp[2]","IN","U16","","LVCMOS33","","","","0","NONE","IOB_X0Y15"
"nvp_mpp[3]","IN","U17","","LVCMOS33","","","","0","NONE","IOB_X0Y17"
"nvp_rst","OUT","R17","","LVCMOS33","12","SLOW","","0","NONE","IOB_X0Y21"
"nvp_scl","INOUT","T17","","LVCMOS33","12","SLOW","","0","NONE","IOB_X0Y18"
"nvp_sda","INOUT","T18","","LVCMOS33","12","SLOW","","0","NONE","IOB_X0Y19"
"pci_exp_rxn[0]","IN","G3","","","","","","","","IPAD_X1Y30"
"pci_exp_rxp[0]","IN","G4","","","","","","","","IPAD_X1Y31"
"pci_exp_txn[0]","OUT","B1","","","","","","","","OPAD_X0Y6"
"pci_exp_txp[0]","OUT","B2","","","","","","","","OPAD_X0Y7"
"sys_clk_n","IN","D5","","","","","","","","IPAD_X1Y15"
"sys_clk_p","IN","D6","","","","","","","","IPAD_X1Y14"
"sys_rst_n","IN","C8","","LVCMOS33","","","PULLUP","0","NONE","IOB_X0Y97"
"vclk1","IN","E13","","LVCMOS33","","","","0","NONE","IOB_X0Y76"
"vdo1_data[0]","IN","A14","","LVCMOS33","","","","0","NONE","IOB_X0Y83"
"vdo1_data[1]","IN","B14","","LVCMOS33","","","","0","NONE","IOB_X0Y80"
"vdo1_data[2]","IN","A15","","LVCMOS33","","","","0","NONE","IOB_X0Y79"
"vdo1_data[3]","IN","B15","","LVCMOS33","","","","0","NONE","IOB_X0Y81"
"vdo1_data[4]","IN","B16","","LVCMOS33","","","","0","NONE","IOB_X0Y70"
"vdo1_data[5]","IN","A17","","LVCMOS33","","","","0","NONE","IOB_X0Y69"
"vdo1_data[6]","IN","B17","","LVCMOS33","","","","0","NONE","IOB_X0Y67"
"vdo1_data[7]","IN","C18","","LVCMOS33","","","","0","NONE","IOB_X0Y63"
