role,line,semantic,mode,delay_object,net,to_pin,fast_max_ps,fast_min_ps,slow_max_ps,slow_min_ps,routed
"RCA","SCL","OEN_Q_TO_IOBUF_T","FULL","PATH_NOT_FOUND","","","","","","",""
"RCA","SCL","OEN_Q_TO_IOBUF_T","INTERCONNECT_ONLY","PATH_NOT_FOUND","","","","","","",""
"RCA","SCL","IBUF_O_TO_SYNC0","FULL","PATH_NOT_FOUND","","","","","","",""
"RCA","SCL","IBUF_O_TO_SYNC0","INTERCONNECT_ONLY","PATH_NOT_FOUND","","","","","","",""
"RCA","SCL","SYNC0_Q_TO_SYNC1","FULL","NVP_AUTOINIT/u_sequence/scl_sync_r[0]_to_NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/D","NVP_AUTOINIT/u_sequence/scl_sync_r[0]","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/D","139","115","311","255","NOT_AVAILABLE"
"RCA","SCL","SYNC0_Q_TO_SYNC1","INTERCONNECT_ONLY","NVP_AUTOINIT/u_sequence/scl_sync_r[0]_to_NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/D","NVP_AUTOINIT/u_sequence/scl_sync_r[0]","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/D","67","57","146","122","NOT_AVAILABLE"
"RCA","SDA","OEN_Q_TO_IOBUF_T","FULL","PATH_NOT_FOUND","","","","","","",""
"RCA","SDA","OEN_Q_TO_IOBUF_T","INTERCONNECT_ONLY","PATH_NOT_FOUND","","","","","","",""
"RCA","SDA","IBUF_O_TO_SYNC0","FULL","PATH_NOT_FOUND","","","","","","",""
"RCA","SDA","IBUF_O_TO_SYNC0","INTERCONNECT_ONLY","PATH_NOT_FOUND","","","","","","",""
"RCA","SDA","SYNC0_Q_TO_SYNC1","FULL","NVP_AUTOINIT/u_sequence/sda_sync_r[0]_to_NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/D","NVP_AUTOINIT/u_sequence/sda_sync_r[0]","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/D","206","172","417","345","NOT_AVAILABLE"
"RCA","SDA","SYNC0_Q_TO_SYNC1","INTERCONNECT_ONLY","NVP_AUTOINIT/u_sequence/sda_sync_r[0]_to_NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/D","NVP_AUTOINIT/u_sequence/sda_sync_r[0]","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/D","138","118","264","222","NOT_AVAILABLE"
