role,line,semantic_role,object,class,ref_name,orig_ref_name,ref_pin_name,direction,is_sequential,loc,bel,site,clock_region,async_reg,shreg_extract,dont_touch,keep,iob,parent_composite
"RCA","SCL","PORT","nvp_scl","port","","","","INOUT","","IOB_X0Y18","","IOB_X0Y18","","","","","","","nvp_scl_iobuf"
"RCA","SCL","COMPOSITE_IBUF_ROOT","nvp_scl_iobuf","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","nvp_scl_iobuf"
"RCA","SCL","IBUF_LEAF","nvp_scl_iobuf/IBUF","cell","IBUF","IBUF","","","0","IOB_X0Y18","IOB33.INBUF_EN","IOB_X0Y18","","","","","","","nvp_scl_iobuf"
"RCA","SCL","OBUFT_LEAF","nvp_scl_iobuf/OBUFT","cell","OBUFT","OBUFT","","","0","IOB_X0Y18","IOB33.OUTBUF","IOB_X0Y18","","","","","","","nvp_scl_iobuf"
"RCA","SCL","IOBUF_I_PIN","nvp_scl_iobuf/OBUFT/I","pin","OBUFT","","I","IN","","","","","","","","","","","nvp_scl_iobuf"
"RCA","SCL","IOBUF_T_PIN","nvp_scl_iobuf/OBUFT/T","pin","OBUFT","","T","IN","","","","","","","","","","","nvp_scl_iobuf"
"RCA","SCL","IOBUF_O_PIN","nvp_scl_iobuf/IBUF/O","pin","IBUF","","O","OUT","","","","","","","","","","","nvp_scl_iobuf"
"RCA","SCL","I_CONSTANT_DRIVER","GND","cell","GND","GND","","","0","","","","","","","","","","nvp_scl_iobuf"
"RCA","SCL","OEN_REGISTER","NVP_AUTOINIT/u_sequence/scl_oen_r_reg","cell","FDSE","FDSE","","","1","SLICE_X16Y136","SLICEL.AFF","SLICE_X16Y136","","","","","","","nvp_scl_iobuf"
"RCA","SCL","OEN_Q","NVP_AUTOINIT/u_sequence/scl_oen_r_reg/Q","pin","FDSE","","Q","OUT","","","","","","","","","","","nvp_scl_iobuf"
"RCA","SCL","OEN_D","NVP_AUTOINIT/u_sequence/scl_oen_r_reg/D","pin","FDSE","","D","IN","","","","","","","","","","","nvp_scl_iobuf"
"RCA","SCL","SYNC0_REGISTER","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[0]","cell","FDSE","FDSE","","","1","SLICE_X16Y119","SLICEL.BFF","SLICE_X16Y119","","1","NO","","yes","","nvp_scl_iobuf"
"RCA","SCL","SYNC0_D","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[0]/D","pin","FDSE","","D","IN","","","","","","","","","","","nvp_scl_iobuf"
"RCA","SCL","SYNC0_Q","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[0]/Q","pin","FDSE","","Q","OUT","","","","","","","","","","","nvp_scl_iobuf"
