role,path_class,delay_type,status,path_count,path_index,startpoint,end_point,path_group,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,slack_ns,requirement_ns,is_unconstrained,routable_nets
"RCA","SCL_OEN_REGISTER_Q_TO_IOBUF_T","max","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"RCA","SCL_OEN_REGISTER_Q_TO_IOBUF_T","min","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"RCA","SCL_CONTROL_TO_OEN_REGISTER_D","max","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/FSM_onehot_state_reg[8]/C","NVP_AUTOINIT/u_sequence/scl_oen_r_reg/D","NOT_AVAILABLE","5.195","NOT_AVAILABLE","NOT_AVAILABLE","6","10.712","16.000","NOT_AVAILABLE","6"
"RCA","SCL_CONTROL_TO_OEN_REGISTER_D","min","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/scl_oen_r_reg/C","NVP_AUTOINIT/u_sequence/scl_oen_r_reg/D","NOT_AVAILABLE","0.366","NOT_AVAILABLE","NOT_AVAILABLE","1","0.275","0.000","NOT_AVAILABLE","1"
"RCA","SCL_CONTROL_TO_OEN_REGISTER_CE","max","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"RCA","SCL_CONTROL_TO_OEN_REGISTER_CE","min","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"RCA","SCL_IOBUF_O_TO_FIRST_SYNC_D","max","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"RCA","SCL_IOBUF_O_TO_FIRST_SYNC_D","min","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"RCA","SCL_SYNC0_Q_TO_SYNC1_D","max","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[0]/C","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/D","NOT_AVAILABLE","0.525","NOT_AVAILABLE","NOT_AVAILABLE","0","15.352","16.000","NOT_AVAILABLE","1"
"RCA","SCL_SYNC0_Q_TO_SYNC1_D","min","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[0]/C","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/D","NOT_AVAILABLE","0.198","NOT_AVAILABLE","NOT_AVAILABLE","0","0.127","0.000","NOT_AVAILABLE","1"
"RCA","SCL_SYNC1_TO_FILTER_LOGIC","max","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/C","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/D","NOT_AVAILABLE","1.190","NOT_AVAILABLE","NOT_AVAILABLE","1","14.800","16.000","NOT_AVAILABLE","1"
"RCA","SCL_SYNC1_TO_FILTER_LOGIC","min","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/C","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/D","NOT_AVAILABLE","0.487","NOT_AVAILABLE","NOT_AVAILABLE","1","0.380","0.000","NOT_AVAILABLE","1"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","0","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[0]/CE","NOT_AVAILABLE","1.682","NOT_AVAILABLE","NOT_AVAILABLE","1","14.031","16.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","1","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[1]/CE","NOT_AVAILABLE","1.682","NOT_AVAILABLE","NOT_AVAILABLE","1","14.031","16.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","2","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[2]/CE","NOT_AVAILABLE","1.682","NOT_AVAILABLE","NOT_AVAILABLE","1","14.031","16.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","3","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[3]/CE","NOT_AVAILABLE","1.682","NOT_AVAILABLE","NOT_AVAILABLE","1","14.031","16.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","4","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[4]/CE","NOT_AVAILABLE","1.682","NOT_AVAILABLE","NOT_AVAILABLE","1","14.031","16.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","5","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[5]/CE","NOT_AVAILABLE","1.682","NOT_AVAILABLE","NOT_AVAILABLE","1","14.031","16.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","6","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[7]/CE","NOT_AVAILABLE","1.682","NOT_AVAILABLE","NOT_AVAILABLE","1","14.063","16.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","7","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[10]/CE","NOT_AVAILABLE","1.566","NOT_AVAILABLE","NOT_AVAILABLE","1","14.179","16.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","8","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[6]/CE","NOT_AVAILABLE","1.566","NOT_AVAILABLE","NOT_AVAILABLE","1","14.179","16.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","9","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[8]/CE","NOT_AVAILABLE","1.566","NOT_AVAILABLE","NOT_AVAILABLE","1","14.179","16.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","10","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[9]/CE","NOT_AVAILABLE","1.566","NOT_AVAILABLE","NOT_AVAILABLE","1","14.179","16.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","11","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_timeout_seen_r_reg/D","NOT_AVAILABLE","1.733","NOT_AVAILABLE","NOT_AVAILABLE","2","14.192","16.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","0","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_timeout_seen_r_reg/D","NOT_AVAILABLE","0.717","NOT_AVAILABLE","NOT_AVAILABLE","2","0.613","0.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","1","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[10]/CE","NOT_AVAILABLE","0.643","NOT_AVAILABLE","NOT_AVAILABLE","1","0.624","0.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","2","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[6]/CE","NOT_AVAILABLE","0.643","NOT_AVAILABLE","NOT_AVAILABLE","1","0.624","0.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","3","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[8]/CE","NOT_AVAILABLE","0.643","NOT_AVAILABLE","NOT_AVAILABLE","1","0.624","0.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","4","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[9]/CE","NOT_AVAILABLE","0.643","NOT_AVAILABLE","NOT_AVAILABLE","1","0.624","0.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","5","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[7]/CE","NOT_AVAILABLE","0.703","NOT_AVAILABLE","NOT_AVAILABLE","1","0.683","0.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","6","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[0]/CE","NOT_AVAILABLE","0.703","NOT_AVAILABLE","NOT_AVAILABLE","1","0.706","0.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","7","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[1]/CE","NOT_AVAILABLE","0.703","NOT_AVAILABLE","NOT_AVAILABLE","1","0.706","0.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","8","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[2]/CE","NOT_AVAILABLE","0.703","NOT_AVAILABLE","NOT_AVAILABLE","1","0.706","0.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","9","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[3]/CE","NOT_AVAILABLE","0.703","NOT_AVAILABLE","NOT_AVAILABLE","1","0.706","0.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","10","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[4]/CE","NOT_AVAILABLE","0.703","NOT_AVAILABLE","NOT_AVAILABLE","1","0.706","0.000","NOT_AVAILABLE","2"
"RCA","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","11","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[5]/CE","NOT_AVAILABLE","0.703","NOT_AVAILABLE","NOT_AVAILABLE","1","0.706","0.000","NOT_AVAILABLE","2"
"RCA","SDA_OEN_REGISTER_Q_TO_IOBUF_T","max","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"RCA","SDA_OEN_REGISTER_Q_TO_IOBUF_T","min","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"RCA","SDA_CONTROL_TO_OEN_REGISTER_D","max","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/FSM_onehot_state_reg[18]/C","NVP_AUTOINIT/u_sequence/sda_oen_r_reg/D","NOT_AVAILABLE","3.191","NOT_AVAILABLE","NOT_AVAILABLE","3","12.733","16.000","NOT_AVAILABLE","3"
"RCA","SDA_CONTROL_TO_OEN_REGISTER_D","min","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/FSM_onehot_state_reg[0]/C","NVP_AUTOINIT/u_sequence/sda_oen_r_reg/D","NOT_AVAILABLE","0.447","NOT_AVAILABLE","NOT_AVAILABLE","1","0.342","0.000","NOT_AVAILABLE","1"
"RCA","SDA_CONTROL_TO_OEN_REGISTER_CE","max","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/FSM_onehot_state_reg[4]/C","NVP_AUTOINIT/u_sequence/sda_oen_r_reg/CE","NOT_AVAILABLE","3.290","NOT_AVAILABLE","NOT_AVAILABLE","3","12.437","16.000","NOT_AVAILABLE","4"
"RCA","SDA_CONTROL_TO_OEN_REGISTER_CE","min","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/FSM_onehot_state_reg[28]/C","NVP_AUTOINIT/u_sequence/sda_oen_r_reg/CE","NOT_AVAILABLE","0.578","NOT_AVAILABLE","NOT_AVAILABLE","1","0.604","0.000","NOT_AVAILABLE","2"
"RCA","SDA_IOBUF_O_TO_FIRST_SYNC_D","max","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"RCA","SDA_IOBUF_O_TO_FIRST_SYNC_D","min","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"RCA","SDA_SYNC0_Q_TO_SYNC1_D","max","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[0]/C","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/D","NOT_AVAILABLE","0.643","NOT_AVAILABLE","NOT_AVAILABLE","0","15.246","16.000","NOT_AVAILABLE","1"
"RCA","SDA_SYNC0_Q_TO_SYNC1_D","min","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[0]/C","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/D","NOT_AVAILABLE","0.259","NOT_AVAILABLE","NOT_AVAILABLE","0","0.184","0.000","NOT_AVAILABLE","1"
"RCA","SDA_SYNC1_TO_FILTER_LOGIC","max","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/C","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/D","NOT_AVAILABLE","1.315","NOT_AVAILABLE","NOT_AVAILABLE","1","14.675","16.000","NOT_AVAILABLE","1"
"RCA","SDA_SYNC1_TO_FILTER_LOGIC","min","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/C","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/D","NOT_AVAILABLE","0.534","NOT_AVAILABLE","NOT_AVAILABLE","1","0.427","0.000","NOT_AVAILABLE","1"
"RCA","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","0","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[4][28]/CE","NOT_AVAILABLE","4.317","NOT_AVAILABLE","NOT_AVAILABLE","2","11.329","16.000","NOT_AVAILABLE","3"
"RCA","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","1","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[4][31]/CE","NOT_AVAILABLE","4.317","NOT_AVAILABLE","NOT_AVAILABLE","2","11.329","16.000","NOT_AVAILABLE","3"
"RCA","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","2","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[4][44]/CE","NOT_AVAILABLE","4.317","NOT_AVAILABLE","NOT_AVAILABLE","2","11.329","16.000","NOT_AVAILABLE","3"
"RCA","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","3","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[4][49]/CE","NOT_AVAILABLE","4.317","NOT_AVAILABLE","NOT_AVAILABLE","2","11.329","16.000","NOT_AVAILABLE","3"
"RCA","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","4","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[4][17]/CE","NOT_AVAILABLE","4.316","NOT_AVAILABLE","NOT_AVAILABLE","2","11.330","16.000","NOT_AVAILABLE","3"
"RCA","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","5","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[3][40]/CE","NOT_AVAILABLE","4.120","NOT_AVAILABLE","NOT_AVAILABLE","2","11.359","16.000","NOT_AVAILABLE","3"
"RCA","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","6","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[3][41]/CE","NOT_AVAILABLE","4.120","NOT_AVAILABLE","NOT_AVAILABLE","2","11.359","16.000","NOT_AVAILABLE","3"
"RCA","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","7","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[3][8]/CE","NOT_AVAILABLE","4.120","NOT_AVAILABLE","NOT_AVAILABLE","2","11.359","16.000","NOT_AVAILABLE","3"
"RCA","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","8","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[3][9]/CE","NOT_AVAILABLE","4.120","NOT_AVAILABLE","NOT_AVAILABLE","2","11.359","16.000","NOT_AVAILABLE","3"
"RCA","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","9","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[6][24]/CE","NOT_AVAILABLE","4.112","NOT_AVAILABLE","NOT_AVAILABLE","2","11.375","16.000","NOT_AVAILABLE","3"
"RCA","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","10","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[3][20]/CE","NOT_AVAILABLE","4.108","NOT_AVAILABLE","NOT_AVAILABLE","2","11.398","16.000","NOT_AVAILABLE","3"
