metric,unit,r1,formal_phase2,rca,r1_minus_formal,percent_vs_formal,r1_minus_rca,percent_vs_rca,comparison_validity
TOTAL_ON_CHIP_POWER,W,0.636000,0.631000,0.401000,0.005000,0.792393,0.235000,58.603491,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
DYNAMIC_POWER,W,0.557000,0.552000,0.323000,0.005000,0.905797,0.234000,72.445820,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
DEVICE_STATIC_POWER,W,0.078000,0.078000,0.077000,0.000000,0.000000,0.001000,1.298701,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
CLOCK_POWER,W,0.048000,0.044000,0.018000,0.004000,9.090909,0.030000,166.666667,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
SIGNAL_POWER,W,0.030000,0.029000,0.008000,0.001000,3.448276,0.022000,275.000000,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
LOGIC_POWER,W,0.023000,0.022000,0.004000,0.001000,4.545455,0.019000,475.000000,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
BRAM_POWER,W,0.028000,0.028000,0.012000,0.000000,0.000000,0.016000,133.333333,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
DSP_POWER,W,0.000000,0.000000,0.000000,0.000000,NOT_APPLICABLE,0.000000,NOT_APPLICABLE,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
IO_POWER,W,0.031000,0.031000,0.001000,0.000000,0.000000,0.030000,3000.000000,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
GT_POWER,W,0.149000,0.149000,0.149000,0.000000,0.000000,0.000000,0.000000,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
MMCM_POWER,W,0.224000,0.224000,0.107000,0.000000,0.000000,0.117000,109.345794,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
HARD_IP_POWER,W,0.025000,0.025000,0.025000,0.000000,0.000000,0.000000,0.000000,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
VCCINT_CURRENT,A,0.176911,0.171805,0.089089,0.005106,2.971974,0.087822,98.577827,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
VCCAUX_CURRENT,A,0.152758,0.152758,0.071508,0.000000,0.000000,0.081250,113.623651,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
VCCO33_CURRENT,A,0.001092,0.001092,0.001091,0.000000,0.000000,0.000001,0.091659,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
VCCBRAM_CURRENT,A,0.002177,0.002176,0.001229,0.000001,0.045956,0.000948,77.135883,COMPARABLE_IDENTICAL_TOOL_AND_ACTIVITY_CLASS_LOW_CONFIDENCE
RELEVANT_VCCO_BANK_POWER,W,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_APPLICABLE,NOT_AVAILABLE,NOT_APPLICABLE,NO_BANK14_DECOMPOSITION_FROM_UNMODIFIED_DCP
