image,line,path_class,max_ns,min_ns,route_max_ns,route_min_ns,logic_or_intrinsic_max_ns,logic_or_intrinsic_min_ns,route_share_max_pct,route_share_min_pct,node_count,wire_count,path_status,max_over_16ns_pct,max_over_5008ns_pct,note
R1,SCL,OEN_Q_TO_IOBUF_T,2.303,1.090,2.302,1.089,0.001,0.001,99.956578,99.908257,36,98,PHYSICAL_DIRECT_PATH_REPORTED,14.393750,0.045986,FULL_AND_INTERCONNECT_ONLY_get_net_delays
R1,SCL,IOBUF_O_TO_SYNC0_D,1.246,0.626,1.053,0.543,0.193,0.083,84.510433,86.741214,29,162,UNCONSTRAINED_PATH_WITH_PHYSICAL_DELAY_REPORTED,7.787500,0.024880,Setup_slack_not_interpreted
R1,SDA,OEN_Q_TO_IOBUF_T,1.709,0.767,1.708,0.766,0.001,0.001,99.941486,99.869622,10,42,PHYSICAL_DIRECT_PATH_REPORTED,10.681250,0.034125,FULL_AND_INTERCONNECT_ONLY_get_net_delays
R1,SDA,IOBUF_O_TO_SYNC0_D,2.004,1.080,1.812,0.997,0.192,0.083,90.419162,92.314815,30,158,UNCONSTRAINED_PATH_WITH_PHYSICAL_DELAY_REPORTED,12.525000,0.040016,Setup_slack_not_interpreted
R1,SCL,SYNC0_Q_TO_SYNC1_D,0.523,0.196,0.144,0.055,0.379,0.141,27.572000,28.162000,5,7,TIMED_SYNCHRONOUS_PATH,3.268750,0.010443,Path_index_0
R1,SDA,SYNC0_Q_TO_SYNC1_D,0.577,0.219,0.144,0.055,0.433,0.164,24.992000,25.208000,5,7,TIMED_SYNCHRONOUS_PATH,3.606250,0.011522,Path_index_0
R1,SCL,FILTERED_TO_DECISION,2.202,0.781,1.507,0.554,0.695,0.227,68.436000,70.929000,14,31,TIMED_SYNCHRONOUS_PATH,13.762500,0.043970,Deterministically_sorted_path_index_0
R1,SDA,FILTERED_TO_ACK_DECISION,4.258,0.643,3.523,0.397,0.735,0.246,82.738000,61.732000,43,119,TIMED_SYNCHRONOUS_PATH,26.612500,0.085024,Deterministically_sorted_path_index_0
R1,SCL,CONTROL_TO_OEN_REGISTER_D,6.077,0.528,5.202,0.342,0.875,0.186,85.601000,64.762000,NOT_AGGREGATED,NOT_AGGREGATED,TIMED_SYNCHRONOUS_PATH,37.981250,0.121346,Path_index_0
R1,SDA,CONTROL_TO_OEN_REGISTER_D,4.315,0.348,3.219,0.162,1.096,0.186,74.599000,46.498000,NOT_AGGREGATED,NOT_AGGREGATED,TIMED_SYNCHRONOUS_PATH,26.968750,0.086162,Path_index_0
FORMAL_PHASE2,SCL,OEN_Q_TO_IOBUF_T,3.256,1.658,3.255,1.657,0.001,0.001,99.969287,99.939686,38,172,PHYSICAL_DIRECT_PATH_REPORTED,20.350000,0.065016,FULL_AND_INTERCONNECT_ONLY_get_net_delays
FORMAL_PHASE2,SCL,IOBUF_O_TO_SYNC0_D,2.134,1.128,1.959,1.032,0.175,0.096,91.799438,91.489362,31,176,UNCONSTRAINED_PATH_WITH_PHYSICAL_DELAY_REPORTED,13.337500,0.042612,Setup_slack_not_interpreted
FORMAL_PHASE2,SDA,OEN_Q_TO_IOBUF_T,3.017,1.532,3.016,1.531,0.001,0.001,99.966854,99.934726,17,121,PHYSICAL_DIRECT_PATH_REPORTED,18.856250,0.060244,FULL_AND_INTERCONNECT_ONLY_get_net_delays
FORMAL_PHASE2,SDA,IOBUF_O_TO_SYNC0_D,2.418,1.311,2.243,1.215,0.175,0.096,92.762614,92.677346,29,161,UNCONSTRAINED_PATH_WITH_PHYSICAL_DELAY_REPORTED,15.112500,0.048283,Setup_slack_not_interpreted
FORMAL_PHASE2,SCL,SYNC0_Q_TO_SYNC1_D,0.720,0.278,0.287,0.114,0.433,0.164,39.855000,40.993000,7,9,TIMED_SYNCHRONOUS_PATH,4.500000,0.014377,Path_index_0
FORMAL_PHASE2,SDA,SYNC0_Q_TO_SYNC1_D,0.720,0.278,0.287,0.114,0.433,0.164,39.855000,40.993000,7,9,TIMED_SYNCHRONOUS_PATH,4.500000,0.014377,Path_index_0
FORMAL_PHASE2,SCL,FILTERED_TO_DECISION,1.834,0.544,1.296,0.290,0.538,0.254,70.658000,53.337000,11,20,TIMED_SYNCHRONOUS_PATH,11.462500,0.036621,Deterministically_sorted_path_index_0
FORMAL_PHASE2,SDA,FILTERED_TO_ACK_DECISION,4.722,0.476,3.914,0.267,0.808,0.209,82.888000,56.120000,34,98,TIMED_SYNCHRONOUS_PATH,29.512500,0.094289,Deterministically_sorted_path_index_0
FORMAL_PHASE2,SCL,CONTROL_TO_OEN_REGISTER_D,5.388,0.385,4.514,0.176,0.874,0.209,83.777000,45.738000,NOT_AGGREGATED,NOT_AGGREGATED,TIMED_SYNCHRONOUS_PATH,33.675000,0.107588,Path_index_0
FORMAL_PHASE2,SDA,CONTROL_TO_OEN_REGISTER_D,3.483,0.488,2.789,0.302,0.694,0.186,80.076000,61.870000,NOT_AGGREGATED,NOT_AGGREGATED,TIMED_SYNCHRONOUS_PATH,21.768750,0.069549,Path_index_0
RCA,SCL,OEN_Q_TO_IOBUF_T,4.273,2.077,4.272,2.076,0.001,0.001,99.976597,99.951854,42,246,PHYSICAL_DIRECT_PATH_REPORTED,26.706250,0.085323,FULL_AND_INTERCONNECT_ONLY_get_net_delays
RCA,SCL,IOBUF_O_TO_SYNC0_D,3.788,2.024,3.595,1.941,0.193,0.083,94.904963,95.899209,30,246,UNCONSTRAINED_PATH_WITH_PHYSICAL_DELAY_REPORTED,23.675000,0.075639,Setup_slack_not_interpreted
RCA,SDA,OEN_Q_TO_IOBUF_T,5.696,2.924,5.695,2.923,0.001,0.001,99.982444,99.965800,32,237,PHYSICAL_DIRECT_PATH_REPORTED,35.600000,0.113738,FULL_AND_INTERCONNECT_ONLY_get_net_delays
RCA,SDA,IOBUF_O_TO_SYNC0_D,3.987,2.058,3.828,2.000,0.159,0.058,96.012039,97.181730,27,236,UNCONSTRAINED_PATH_WITH_PHYSICAL_DELAY_REPORTED,24.918750,0.079613,Setup_slack_not_interpreted
RCA,SCL,SYNC0_Q_TO_SYNC1_D,0.525,0.198,0.146,0.057,0.379,0.141,27.814000,28.799000,5,7,TIMED_SYNCHRONOUS_PATH,3.281250,0.010483,Path_index_0
RCA,SDA,SYNC0_Q_TO_SYNC1_D,0.643,0.259,0.264,0.118,0.379,0.141,41.081000,45.613000,6,8,TIMED_SYNCHRONOUS_PATH,4.018750,0.012839,Path_index_0
RCA,SCL,FILTERED_TO_DECISION,1.682,0.717,1.092,0.445,0.590,0.272,64.927000,62.059000,12,21,TIMED_SYNCHRONOUS_PATH,10.512500,0.033586,Deterministically_sorted_path_index_0
RCA,SDA,FILTERED_TO_ACK_DECISION,4.317,0.367,3.449,0.141,0.868,0.226,79.896000,38.477000,31,87,TIMED_SYNCHRONOUS_PATH,26.981250,0.086202,Deterministically_sorted_path_index_0
RCA,SCL,CONTROL_TO_OEN_REGISTER_D,5.195,0.366,3.788,0.180,1.407,0.186,72.919000,49.155000,NOT_AGGREGATED,NOT_AGGREGATED,TIMED_SYNCHRONOUS_PATH,32.468750,0.103734,Path_index_0
RCA,SDA,CONTROL_TO_OEN_REGISTER_D,3.191,0.447,2.274,0.261,0.917,0.186,71.267000,58.397000,NOT_AGGREGATED,NOT_AGGREGATED,TIMED_SYNCHRONOUS_PATH,19.943750,0.063718,Path_index_0
