family,comparison_stage,candidate_raw_sha256,reference_raw_sha256,raw_bytes_equal,excluded_header_fields,ordered_body_equal,meaningful_difference,disposition
report_timing_summary,initial,4767EFD5C1B1AFC89E05B992ABC48C3AE5248C9DE828CBE731726DAD22EC1391,F71E066760EEFCB08FF52BBEB28682601FF23A1299D37A18FB44CD44FFE39321,NO,Date_and_Command,NO,cached_methodology_warning_section_present_only_in_candidate,TARGETED_REPORT_METHODOLOGY_ON_BOTH_REQUIRED
report_timing_summary,after_identical_report_methodology,0AB4DFB10FDD3FB449B3F3278EE611657872995B402AF6613BFE6CF342A58E53,02BE8A5D53F3D7F29CCE16392C5C9E785CBF6AD27BFBEA650414AC9F4AAA71B5,NO,Date_and_Command,YES,NONE,ALL_WARNINGS_RETAINED_BODY_SHA_AAE05AAFDC9035DBB46EB9E67A082C62BEB8E95E0F7151D7C6BA20A3642C4D65
report_exceptions_summary,as_open,654B94D78278FB1157E6A3F1098CD0C67DC7EEA5896373C6DCD99FB5B3C46B63,A4CA6F039ADF33961DEDB9487309C19F81A5EBB0727C9500321CC4C1D62B5D7A,NO,Date_and_Command,YES,NONE,EXACT_ORDERED_BODY_SHA_457A3B915FF1B983F86F083222119D27F5D0F5106B486AD5D4080328FA030B64
report_exceptions_ignored,as_open,E09608DFC768AB3D0C0E6B05BAB402AE1217D1FA6D6AB07EF699BED9D8446D16,D0A07BC8A81A679436D7CEA3072CD69B587CDA2C84F9E5C554907ACCEAE576FF,NO,Date_and_Command,YES,NONE,EXACT_ORDERED_BODY_SHA_74D96A92A1F40162FDD8249847EF08D05188C222521EDD6ECE631EE6364A4F09
report_clocks,as_open,C96703393ABA3016F03BFCB734CF3F3EA2CDB53631E78036A20B7BD98B58C984,100A5B59F844AA9A1C853B4F1C11E3EBE2C1D2B74041D75FA87A252CD741A379,NO,Date_and_Command,YES,NONE,EXACT_ORDERED_BODY_SHA_C05E1FAE6B00EB97A0854E907664331CEA205CFEC63853456B8DF2F492FDAEB7
report_clock_networks,as_open,40A2BD5E7086C048789717C848E93EF8D6305ACC64E91E1A1FD12FE34563E799,214E520548BDB10B5A6CA37100A8ABC3B146FF44B140735CE43EDA798E6A5CC1,NO,Date_and_Command,YES,NONE,EXACT_ORDERED_BODY_SHA_77815CE3C38A3ED0462F491C29A9A65F133111B4FD560662DF559509624C0C24
report_cdc,as_open,D03FF3FB45F9258DA51A160830463928568E1582EB2022C7223279E603F9E826,728D053A4565C9ED0CCF1946894606DDBF29644F32869B0814830D7A3867F7EB,NO,Date_and_Command,YES,NONE,EXACT_ORDERED_BODY_SHA_4D3882929DA681574FEB72085C5AC812B8177FC497411159C048A0629A6AD947
report_methodology,targeted,670BFBD1F53809396FA3D6200035F91758CFD4D02A81EB27E4359E93CA7DF4A5,B7EA383E0376396887DBD98DE968479F5AC273CBBD8D4897C9CACF8729FC3E2F,NO,Date_and_Command,NO,Floorplan_identifier_derived_from_DCP_filename_only,18_WARNINGS_IDENTICAL_ZERO_ERRORS_ZERO_CRITICAL
report_bus_skew,as_open,NOT_RUN,NOT_RUN,NOT_APPLICABLE,NONE,NOT_REACHED,Global_overlap_report_prohibitively_expensive,INHERITED_EXACT_GROUP_11_OF_11_SUBJECT_TO_FULL_DESIGN_IDENTITY
promoted_replacements,as_open,NOT_RUN,NOT_RUN,NOT_APPLICABLE,NONE,NOT_REACHED,Physical_source_receipt_from_original_routed_DCP,INHERITED_17_OF_17_SUBJECT_TO_FULL_DESIGN_IDENTITY
