raw_master_cause,master_cause_name,timeout,scanner_code,scanner_name,ordinary_master_reachability,source_or_test
0x0,NONE,0,0xA,INTERNAL_PROTOCOL,NO_SUCCESS_ZERO_WITH_NONE_REQUIRES_INTERFACE_OR_ILLEGAL_STATE,T10_T11
0x1,WADDR_NACK,0,0x1,WADDR_NACK,YES_ACK_W_HIGH,T10_T04_T16
0x2,REGADDR_NACK,0,0x2,REGADDR_NACK,YES_ACK_REG_HIGH,T10_T05_T16
0x3,RADDR_NACK,0,0x3,RADDR_NACK,YES_ACK_R_HIGH,T10_T06_T16
0x4,DATA_NACK,0,0xA,INTERNAL_PROTOCOL,YES_ACK_DATA_HIGH,T10_T02_T15
0x5,SCL_TIMEOUT,0,0xA,INTERNAL_PROTOCOL,NO_TIMEOUT_FLAG_INCONSISTENCY,T10
0x6,BUS_IDLE_TIMEOUT,0,0xA,INTERNAL_PROTOCOL,NO_TIMEOUT_FLAG_INCONSISTENCY,T10
0x7,RESERVED,0,0xA,INTERNAL_PROTOCOL,NO_RESERVED_MOCK_ONLY,T10
0x8,RESERVED,0,0xA,INTERNAL_PROTOCOL,NO_RESERVED_MOCK_ONLY,T10
0x9,RESERVED,0,0xA,INTERNAL_PROTOCOL,NO_RESERVED_MOCK_ONLY,T10
0xA,RESERVED,0,0xA,INTERNAL_PROTOCOL,NO_RESERVED_MOCK_ONLY,T10
0xB,RESERVED,0,0xA,INTERNAL_PROTOCOL,NO_RESERVED_MOCK_ONLY,T10
0xC,RESERVED,0,0xA,INTERNAL_PROTOCOL,NO_RESERVED_MOCK_ONLY,T10
0xD,RESERVED,0,0xA,INTERNAL_PROTOCOL,NO_RESERVED_MOCK_ONLY,T10
0xE,RESERVED,0,0xA,INTERNAL_PROTOCOL,NO_RESERVED_MOCK_ONLY,T10
0xF,RESERVED,0,0xA,INTERNAL_PROTOCOL,NO_RESERVED_MOCK_ONLY,T10
0x0,NONE,1,0x4,SCL_TIMEOUT,NO_TIMEOUT_CAUSE_INCONSISTENCY,T10
0x1,WADDR_NACK,1,0x4,SCL_TIMEOUT,NO_TIMEOUT_CAUSE_INCONSISTENCY,T10
0x2,REGADDR_NACK,1,0x4,SCL_TIMEOUT,NO_TIMEOUT_CAUSE_INCONSISTENCY,T10
0x3,RADDR_NACK,1,0x4,SCL_TIMEOUT,NO_TIMEOUT_CAUSE_INCONSISTENCY,T10
0x4,DATA_NACK,1,0x4,SCL_TIMEOUT,NO_TIMEOUT_CAUSE_INCONSISTENCY,T10
0x5,SCL_TIMEOUT,1,0x4,SCL_TIMEOUT,YES_SCL_HIGH_WAIT,T10_T08
0x6,BUS_IDLE_TIMEOUT,1,0x5,BUS_IDLE_TIMEOUT,YES_IDLE_OR_STOP_WAIT,T10_T09
0x7,RESERVED,1,0x4,SCL_TIMEOUT,NO_RESERVED_MOCK_ONLY,T10
0x8,RESERVED,1,0x4,SCL_TIMEOUT,NO_RESERVED_MOCK_ONLY,T10
0x9,RESERVED,1,0x4,SCL_TIMEOUT,NO_RESERVED_MOCK_ONLY,T10
0xA,RESERVED,1,0x4,SCL_TIMEOUT,NO_RESERVED_MOCK_ONLY,T10
0xB,RESERVED,1,0x4,SCL_TIMEOUT,NO_RESERVED_MOCK_ONLY,T10
0xC,RESERVED,1,0x4,SCL_TIMEOUT,NO_RESERVED_MOCK_ONLY,T10
0xD,RESERVED,1,0x4,SCL_TIMEOUT,NO_RESERVED_MOCK_ONLY,T10
0xE,RESERVED,1,0x4,SCL_TIMEOUT,NO_RESERVED_MOCK_ONLY,T10
0xF,RESERVED,1,0x4,SCL_TIMEOUT,NO_RESERVED_MOCK_ONLY,T10
