case_id,op_read,stretch_phase,stretch_bit,extra_cycles,edge_phase_ns,scl_input_delay_ns,sda_input_delay_ns,ack_mode,ack_lead_ns,early_release_ns,stratum,declared_class
1,0,-1,-1,0,0,0,0,0,2000,0,clean,GENERIC_VALID_DIGITAL
2,1,-1,-1,0,0,0,0,0,2000,0,clean,GENERIC_VALID_DIGITAL
3,0,0,-1,0,0,0,0,1,2000,0,absent_ack_control,INTENTIONALLY_INVALID_NO_ACK
4,1,1,-1,0,0,0,0,1,2000,0,absent_ack_control,INTENTIONALLY_INVALID_NO_ACK
5,0,3,-1,0,0,0,0,1,2000,0,absent_ack_control,INTENTIONALLY_INVALID_NO_ACK
6,1,4,-1,0,0,0,0,1,2000,0,absent_ack_control,INTENTIONALLY_INVALID_NO_ACK
7,0,3,-1,0,8,0,0,0,2000,0,full_ack_duration,GENERIC_VALID_DIGITAL
8,0,3,-1,1,8,0,0,0,2000,0,full_ack_duration,GENERIC_VALID_DIGITAL
9,0,3,-1,4,8,0,0,0,2000,0,full_ack_duration,GENERIC_VALID_DIGITAL
10,0,3,-1,16,8,0,0,0,2000,0,full_ack_duration,GENERIC_VALID_DIGITAL
11,0,3,-1,64,8,0,0,0,2000,0,full_ack_duration,GENERIC_VALID_DIGITAL
12,0,3,-1,256,8,0,0,0,2000,0,full_ack_duration,GENERIC_VALID_DIGITAL
13,0,3,-1,625,8,0,0,0,2000,0,full_ack_duration,GENERIC_VALID_DIGITAL
14,0,3,-1,1000,8,0,0,0,2000,0,full_ack_duration,GENERIC_VALID_DIGITAL
15,0,3,-1,1200,8,0,0,0,2000,0,full_ack_duration,STRETCH_TIMEOUT_SENSITIVITY
16,0,3,-1,1240,8,0,0,0,2000,0,full_ack_duration,STRETCH_TIMEOUT_SENSITIVITY
17,0,3,-1,1248,8,0,0,0,2000,0,full_ack_duration,STRETCH_TIMEOUT_SENSITIVITY
18,0,3,-1,1249,8,0,0,0,2000,0,full_ack_duration,STRETCH_TIMEOUT_SENSITIVITY
19,0,3,-1,1250,8,0,0,0,2000,0,full_ack_duration,STRETCH_TIMEOUT_SENSITIVITY
20,0,3,-1,1251,8,0,0,0,2000,0,full_ack_duration,STRETCH_TIMEOUT_SENSITIVITY
