"case_id","op_read","stretch_phase","stretch_bit","extra_cycles","edge_phase_ns","scl_input_delay_ns","sda_input_delay_ns","ack_mode","ack_lead_ns","early_release_ns","stratum","declared_class","checker","experiment_outcome","success","timeout","raw","starts","stops","bytes","bits","max_scl_wait","target_low","master_release","slave_release","bus_high","bus_fall","ack_assert","ack_release","sample","sample_bus_sda","sample_raw_sda","sample_filtered_sda","raw_scl_high","sync_scl_high","filtered_scl_high","raw_sda_low","sync_sda_low","filtered_sda_low","ack_high_violation","starts_pin","stops_pin","pin_rises","pin_bytes","ack_valid_from_low_ps","ack_setup_to_high_ps","log_sha256","pin_sha256"
"1","0","-1","-1","0","0","0","0","0","2000","0","clean","GENERIC_VALID_DIGITAL","PASS","CLEAN_VALID_PATH","1","0","0","1","1","3","24","5","0","0","0","0","0","0","0","0","-1","-1","-1","0","0","0","0","0","0","0","1","1","27","[(0, 96), (0, 255), (0, 5)]","","","EB2A80A7CF9E24E5A4D0FDA9E7E64DFEAD156CA5387FB4CE20B8EC3792DDBE87","85629F5F83D36AD99B71A5DE836B59D545F533F85C2E8EB2237E68655B112F43"
"2","1","-1","-1","0","0","0","0","0","2000","0","clean","GENERIC_VALID_DIGITAL","PASS","CLEAN_VALID_PATH","1","0","0","2","1","3","24","5","0","0","0","0","0","0","0","0","-1","-1","-1","0","0","0","0","0","0","0","2","1","36","[(0, 96), (0, 244), (1, 97)]","","","CF148C812665FF06CF39DCD7AF6B4F9B75E3C1F11C11E7CE0CC73AC03E52BE2F","88BE75BF221E95FB86E50CED6741E516041B4EB92F7B10F41791303220303F61"
"3","0","0","-1","0","0","0","0","1","2000","0","absent_ack_control","INTENTIONALLY_INVALID_NO_ACK","PASS","EXPECTED_ABSENT_ACK","0","0","1","1","1","1","9","5","381224000","401240000","401240000","401240000","421336000","0","0","421336000","1","1","1","401240000","401272000","401320000","180664000","180696000","180744000","0","1","1","9","[(0, 96)]","","","AF12F2DD555F8A10465D6742D76AFCDCDA123266F023A56C60A3C231CAC130E8","6750F430DD44D7E434CC08F9DC3B7E58DDD0EBA3890ABE2D463B34705E6F6FD9"
"4","1","1","-1","0","0","0","0","1","2000","0","absent_ack_control","INTENTIONALLY_INVALID_NO_ACK","PASS","EXPECTED_ABSENT_ACK","0","0","2","1","1","2","16","5","742232000","762248000","762248000","762248000","782344000","0","0","782344000","1","1","1","762248000","762280000","762328000","662008000","662040000","662088000","0","1","1","18","[(0, 96), (0, 244)]","","","E28590AE6CA325ED4BAA77F49A3FB0BBE36AACA63270DD7CBC10D644A74BB5CB","A4111C406CA135421DF3D9B4757E5971770DC973B9B7B2058DD341703E28A5FF"
"5","0","3","-1","0","0","0","0","1","2000","0","absent_ack_control","INTENTIONALLY_INVALID_NO_ACK","PASS","EXPECTED_ABSENT_ACK","0","0","4","1","1","3","24","5","1103240000","1123256000","1123256000","1123256000","1143352000","0","0","1143352000","1","1","1","1123256000","1123288000","1123336000","1023016000","1023048000","1023096000","0","1","1","27","[(0, 96), (0, 255), (0, 5)]","","","87FC42C1319B894072D0799358FC2344ACC0B1815DA2316579D9B29630282637","2A7F1A3D7CDD85140005CEC5BD73E6EEB0B89C4D604604AD5C640C4402343F9B"
"6","1","4","-1","0","0","0","0","1","2000","0","absent_ack_control","INTENTIONALLY_INVALID_NO_ACK","PASS","EXPECTED_ABSENT_ACK","0","0","3","2","1","3","24","5","1183384000","1203400000","1203400000","1203400000","1223496000","0","0","1223496000","1","1","1","1203400000","1203432000","1203480000","982824000","982856000","982904000","0","2","1","27","[(0, 96), (0, 244), (1, 97)]","","","6060F38758FB7C71D5125B9737308646227C52A5B68C7075B24525AF420DFB36","17DFB18F8F8FC91C1303D25E3BAAA7B685D22DE74801FC8892B6DD2E3CF42814"
"7","0","3","-1","0","8","0","0","0","2000","0","full_ack_duration","GENERIC_VALID_DIGITAL","PASS","CLEAN_VALID_PATH","1","0","0","1","1","3","24","5","1103240000","1123256000","1123264000","1123264000","1143352000","1103240000","0","1143352000","0","0","0","1123264000","1123288000","1123336000","1103240000","1103272000","1103320000","0","1","1","27","[(0, 96), (0, 255), (0, 5)]","0","20024000","6C81CF236A5C60AD485FA607290B446F7B975E62EEE726022162963186BC8D99","88F8B467976B55E6FF23E8E5D78E7C91796A8C5A0FD5B7F2EB90B9D00BC0ADAB"
"8","0","3","-1","1","8","0","0","0","2000","0","full_ack_duration","GENERIC_VALID_DIGITAL","PASS","CLEAN_VALID_PATH","1","0","0","1","1","3","24","6","1103240000","1123256000","1123280000","1123280000","1143368000","1103240000","0","1143368000","0","0","0","1123280000","1123304000","1123352000","1103240000","1103272000","1103320000","0","1","1","27","[(0, 96), (0, 255), (0, 5)]","0","20040000","A1C977D72A3E8DE780C2B705E0AC0247C08DACA0F88B6CFE6BA14A1C852ACD6B","4B5BE2500084522B429F825BA98F7CE53DD582A5FE1FD2BEAA75B757B9691BD1"
"9","0","3","-1","4","8","0","0","0","2000","0","full_ack_duration","GENERIC_VALID_DIGITAL","PASS","CLEAN_VALID_PATH","1","0","0","1","1","3","24","9","1103240000","1123256000","1123328000","1123328000","1143416000","1103240000","0","1143416000","0","0","0","1123328000","1123352000","1123400000","1103240000","1103272000","1103320000","0","1","1","27","[(0, 96), (0, 255), (0, 5)]","0","20088000","DC56002AA124BF59D9CAC51FCA15D8BF415DB0B08E3F094A9DD56966646C3F86","AB1274F8C1960E8E15C78C52AC8EA4E87BA63CFACC544DBE47F05DB69E7C96D0"
"10","0","3","-1","16","8","0","0","0","2000","0","full_ack_duration","GENERIC_VALID_DIGITAL","PASS","CLEAN_VALID_PATH","1","0","0","1","1","3","24","21","1103240000","1123256000","1123520000","1123520000","1143608000","1103240000","0","1143608000","0","0","0","1123520000","1123544000","1123592000","1103240000","1103272000","1103320000","0","1","1","27","[(0, 96), (0, 255), (0, 5)]","0","20280000","EB83C64A286A3E69B3825A9A991B35423CDB97CA3002B36DE4E912D34610A982","D1D805556D69939CF43E235C44FD6BDFC22FD23CBEF0F6929A9EF0922DEFB7A0"
