boundary_kind,group_index,previous_bank,target_bank,same_bank_reselection,command_kind,command_sequence,next_command_sequence,stop_time_ns,next_start_time_ns,gap_ns,gap_fpga_cycles,gap_us,source_derived_cycles,agreement,model_assumptions,source_or_trace_reference,reference_comparison_applicable,delta_vs_200us,delta_vs_300us
SELECT_WRITE_STOP_TO_VERIFY_INITIAL_START,0,00,00,NO,SELECT_GROUP_BANK,2,3,2827912.000,2887992.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,POST_WRITE_WAIT_CONTEXT,-139.920,-239.920
VERIFY_READ_STOP_TO_FIRST_ENTRY_INITIAL_START,0,00,00,NO,VERIFY_GROUP_BANK,3,4,4472296.000,4532376.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
SELECT_WRITE_STOP_TO_VERIFY_INITIAL_START,1,00,00,YES,SELECT_GROUP_BANK,5,6,7319912.000,7379992.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,POST_WRITE_WAIT_CONTEXT,-139.920,-239.920
VERIFY_READ_STOP_TO_FIRST_ENTRY_INITIAL_START,1,00,00,YES,VERIFY_GROUP_BANK,6,7,8964296.000,9024376.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
SELECT_WRITE_STOP_TO_VERIFY_INITIAL_START,2,00,00,YES,SELECT_GROUP_BANK,10,11,15100680.000,15160760.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,POST_WRITE_WAIT_CONTEXT,-139.920,-239.920
VERIFY_READ_STOP_TO_FIRST_ENTRY_INITIAL_START,2,00,00,YES,VERIFY_GROUP_BANK,11,12,16745064.000,16805144.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
SELECT_WRITE_STOP_TO_VERIFY_INITIAL_START,3,00,00,YES,SELECT_GROUP_BANK,19,20,29458984.000,29519064.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,POST_WRITE_WAIT_CONTEXT,-139.920,-239.920
VERIFY_READ_STOP_TO_FIRST_ENTRY_INITIAL_START,3,00,00,YES,VERIFY_GROUP_BANK,20,21,31103368.000,31163448.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
SELECT_WRITE_STOP_TO_VERIFY_INITIAL_START,4,00,01,NO,SELECT_GROUP_BANK,37,38,58616744.000,58676824.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,POST_WRITE_WAIT_CONTEXT,-139.920,-239.920
VERIFY_READ_STOP_TO_FIRST_ENTRY_INITIAL_START,4,00,01,NO,VERIFY_GROUP_BANK,38,39,60261128.000,60321208.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
SELECT_WRITE_STOP_TO_VERIFY_INITIAL_START,5,01,05,NO,SELECT_GROUP_BANK,49,50,77908200.000,77968280.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,POST_WRITE_WAIT_CONTEXT,-139.920,-239.920
VERIFY_READ_STOP_TO_FIRST_ENTRY_INITIAL_START,5,01,05,NO,VERIFY_GROUP_BANK,50,51,79552584.000,79612664.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
SELECT_WRITE_STOP_TO_VERIFY_INITIAL_START,6,05,06,NO,SELECT_GROUP_BANK,62,63,98844040.000,98904120.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,POST_WRITE_WAIT_CONTEXT,-139.920,-239.920
VERIFY_READ_STOP_TO_FIRST_ENTRY_INITIAL_START,6,05,06,NO,VERIFY_GROUP_BANK,63,64,100488424.000,100548504.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
SELECT_WRITE_STOP_TO_VERIFY_INITIAL_START,7,06,07,NO,SELECT_GROUP_BANK,75,76,119779880.000,119839960.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,POST_WRITE_WAIT_CONTEXT,-139.920,-239.920
VERIFY_READ_STOP_TO_FIRST_ENTRY_INITIAL_START,7,06,07,NO,VERIFY_GROUP_BANK,76,77,121424264.000,121484344.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
SELECT_WRITE_STOP_TO_VERIFY_INITIAL_START,8,07,08,NO,SELECT_GROUP_BANK,88,89,140715720.000,140775800.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,POST_WRITE_WAIT_CONTEXT,-139.920,-239.920
VERIFY_READ_STOP_TO_FIRST_ENTRY_INITIAL_START,8,07,08,NO,VERIFY_GROUP_BANK,89,90,142360104.000,142420184.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
SELECT_WRITE_STOP_TO_VERIFY_INITIAL_START,9,08,00,NO,SELECT_GROUP_BANK,101,102,161651560.000,161711640.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,POST_WRITE_WAIT_CONTEXT,-139.920,-239.920
VERIFY_READ_STOP_TO_FIRST_ENTRY_INITIAL_START,9,08,00,NO,VERIFY_GROUP_BANK,102,103,163295944.000,163356024.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
RESTORE_WRITE_STOP_TO_VERIFY_INITIAL_START,9,00,00,YES,RESTORE_ENTRY_BANK,104,105,166143560.000,166203640.000,60080.000,3755,60.080,3755,PASS,digital immediate open-drain rise; no extra stretch; valid ACK; no other client; 62.5MHz,W1/simulation/xsim.log W1_ACCEPT/W1_EDGE; W1_TIMING_DERIVATION.md,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
