event_ordinal,scan_label,group_index,position_in_group,entry_index,bank,register_decimal,cause,retry_success,time_since_verify_ns,transactions_since_verify,bank_hex,register_hex,scanner_manifest_site,reference_site,reference_path_context,classification,causal_inference
1,campaign-0005,5,3,40,5,244,REGADDR_NACK,TRUE,4938640,3,05,F4,g2b_nvp_camera_scan1_manifest_pkg.sv:149,video.c:401-406;video.c:637-642,CONDITIONAL_DETECTOR_READ_AFTER_SINGLE_0xFF_SELECT_FOR_F0_F2_F3_F4_F5,HISTORICAL_REGADDR_NACK_RECOVERED_FIRST_ATTEMPT,NONE_FROM_CODE_COMPARISON
2,campaign-0008,7,4,63,7,245,REGADDR_NACK,TRUE,6584848,4,07,F5,g2b_nvp_camera_scan1_manifest_pkg.sv:172,video.c:401-406;video.c:637-642,CONDITIONAL_DETECTOR_READ_AFTER_SINGLE_0xFF_SELECT_FOR_F0_F2_F3_F4_F5,HISTORICAL_REGADDR_NACK_RECOVERED_FIRST_ATTEMPT,NONE_FROM_CODE_COMPARISON
3,campaign-0011,8,3,73,8,244,REGADDR_NACK,TRUE,4938640,3,08,F4,g2b_nvp_camera_scan1_manifest_pkg.sv:182,video.c:401-406;video.c:637-642,CONDITIONAL_DETECTOR_READ_AFTER_SINGLE_0xFF_SELECT_FOR_F0_F2_F3_F4_F5,HISTORICAL_REGADDR_NACK_RECOVERED_FIRST_ATTEMPT,NONE_FROM_CODE_COMPARISON
4,campaign-0013,4,1,28,1,152,REGADDR_NACK,TRUE,1646224,1,01,98,g2b_nvp_camera_scan1_manifest_pkg.sv:137,NOT_FOUND_IN_REVIEWED_PATH,SEARCH_HITS_0x98_ARE_OTHER_BANK_VALUE_OR_INACTIVE_MODE;NO_ACTIVE_BANK1_READ_PROVEN,HISTORICAL_REGADDR_NACK_RECOVERED_FIRST_ATTEMPT,NONE_FROM_CODE_COMPARISON
5,campaign-0014,8,1,71,8,242,REGADDR_NACK,TRUE,1646224,1,08,F2,g2b_nvp_camera_scan1_manifest_pkg.sv:180,video.c:401-406;video.c:637-642,CONDITIONAL_DETECTOR_READ_AFTER_SINGLE_0xFF_SELECT_FOR_F0_F2_F3_F4_F5,HISTORICAL_REGADDR_NACK_RECOVERED_FIRST_ATTEMPT,NONE_FROM_CODE_COMPARISON
6,campaign-0015,4,2,29,1,132,REGADDR_NACK,TRUE,3292432,2,01,84,g2b_nvp_camera_scan1_manifest_pkg.sv:138,video.c:3542-3544;video.c:3471-3474;video.c:153-154,MODULE_INIT_NOVIDEO_CH0_WRITE;CONDITIONAL_1080P2530_CH0_WRITE;OPTIONAL_ADC_HELPER_READ_ONLY_IF_CALLED,HISTORICAL_REGADDR_NACK_RECOVERED_FIRST_ATTEMPT,NONE_FROM_CODE_COMPARISON
7,campaign-0015,6,1,49,6,242,REGADDR_NACK,TRUE,1646224,1,06,F2,g2b_nvp_camera_scan1_manifest_pkg.sv:158,video.c:401-406;video.c:637-642,CONDITIONAL_DETECTOR_READ_AFTER_SINGLE_0xFF_SELECT_FOR_F0_F2_F3_F4_F5,HISTORICAL_REGADDR_NACK_RECOVERED_FIRST_ATTEMPT,NONE_FROM_CODE_COMPARISON
8,campaign-0016,5,4,41,5,245,REGADDR_NACK,TRUE,6584848,4,05,F5,g2b_nvp_camera_scan1_manifest_pkg.sv:150,video.c:401-406;video.c:637-642,CONDITIONAL_DETECTOR_READ_AFTER_SINGLE_0xFF_SELECT_FOR_F0_F2_F3_F4_F5,HISTORICAL_REGADDR_NACK_RECOVERED_FIRST_ATTEMPT,NONE_FROM_CODE_COMPARISON
9,campaign-0017,5,1,38,5,242,REGADDR_NACK,TRUE,1646224,1,05,F2,g2b_nvp_camera_scan1_manifest_pkg.sv:147,video.c:401-406;video.c:637-642,CONDITIONAL_DETECTOR_READ_AFTER_SINGLE_0xFF_SELECT_FOR_F0_F2_F3_F4_F5,HISTORICAL_REGADDR_NACK_RECOVERED_FIRST_ATTEMPT,NONE_FROM_CODE_COMPARISON
10,campaign-0022,3,8,19,0,234,REGADDR_NACK,TRUE,13169680,8,00,EA,g2b_nvp_camera_scan1_manifest_pkg.sv:128,NOT_FOUND_IN_REVIEWED_PATH,NO_BANK0_EA_READ_IN_SCOPED_REFERENCE_INIT_OR_DETECTOR_PATH,HISTORICAL_REGADDR_NACK_RECOVERED_FIRST_ATTEMPT,NONE_FROM_CODE_COMPARISON
11,campaign-0023,6,1,49,6,242,REGADDR_NACK,TRUE,1646224,1,06,F2,g2b_nvp_camera_scan1_manifest_pkg.sv:158,video.c:401-406;video.c:637-642,CONDITIONAL_DETECTOR_READ_AFTER_SINGLE_0xFF_SELECT_FOR_F0_F2_F3_F4_F5,HISTORICAL_REGADDR_NACK_RECOVERED_FIRST_ATTEMPT,NONE_FROM_CODE_COMPARISON
