comparison_item,our_active_path_and_condition,reference_path_and_condition,channel_or_port,bank,register,our_order_value_delay,reference_order_value_delay,match_or_difference,provenance,applicability,causal_relevance,disposition
MAREK_STAGE2_SLOT_011,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,00,slot=11;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/2;video.c:2082;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:244;video.c:2082,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_012,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,01,slot=12;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/2;video.c:2083;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:245;video.c:2083,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_013,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,08,slot=13;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:2085;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:246;video.c:2085,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_014,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,11,slot=14;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:2087;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:247;video.c:2087,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_015,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,23,slot=15;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:2088;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:248;video.c:2088,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_016,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,2A,slot=16;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/2;video.c:2089;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:249;video.c:2089,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_017,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,58,slot=17;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/3;video.c:2091;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:250;video.c:2091,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_018,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,59,slot=18;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/3;video.c:2092;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:251;video.c:2092,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_019,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,B8,slot=19;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/3;video.c:2093;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:252;video.c:2093,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_020,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,C8,slot=20;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/2;video.c:2096;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:253;video.c:2096,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
