scan_label,generation,device_id_raw_word,device_id_value,device_id_status,device_id_valid,device_id_retry,revision_raw_word,revision_value,revision_status,revision_valid,revision_retry,private_raw_sha256
control,1,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,D156240BC17DDAE5A4DDB65EE2269109B6865D2844B091E504FEDC6DAAE11A63
campaign-0001,2,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,78DE84E18B3E10180A12F6D34C8CFFB5E889F63C67E3DF5CAB288FC689CB275B
campaign-0002,3,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,D9DEF0FD578B3434CB16A106081E0F3A91AF41E6BE607A9D0D46C92292BD321C
campaign-0003,4,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,5B7E4ADC6DFFDC71B70C0FEDC36817023554DE2F2BC061DF691718F48CE6E2B6
campaign-0004,5,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,3115EB765553D2B46D033D2ABDECFFFB2624B55A19B12AF819DA3B13F5639561
campaign-0005,6,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,EAA9F1415A5086D74561B2B1752F9D04C662187F1366EA318A60F2734AF0F41B
campaign-0006,7,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,C50E2F86969B3BF0B827A582BF0B8F1E48885DFAA62662EB76C395CCF96A721F
campaign-0007,8,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,5AA782FAD3FDC458984DEE00C05076F24253830574A35B170AB33AE547CE1EB7
campaign-0008,9,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,A3BF65C2272B0A2BBE783AF49F7A7F5C5D8F6F5A23B92745DFF61F821CF91373
campaign-0009,10,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,E152AA7A124A2F16F8BC7B309ADD8ED09B3DC43AAD819D82DCBBDE65EEB615B4
campaign-0010,11,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,3EAD69F241960CD1A5934C2CA680D7DACF55DD2781C9013A46DEA1E9A6C7B193
campaign-0011,12,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,1312E67F459CE92E2B15569EB1096EB2D8F95F40562152EFA9DA0790496BC856
campaign-0012,13,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,9F64E6FA70B58ED05D5DFC45BBC00AFA6AF2119A78F0026EA357C37CBEBA79DD
campaign-0013,14,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,B823243F96AEDF2DF6CBDF9E8E1C45684B76E6E03F222F5893EE123AA8440C1E
campaign-0014,15,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,D73B4CCFB80CBC79C74D3DFE18F5181F4A5B37DCB69BF590453E241DD963936B
campaign-0015,16,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,09812B88BB81F58F60E350D25CB0A7612A79675594775C7C86D7879810F6D5E3
campaign-0016,17,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,64F80793A5DEFD9392D628D2DB52495A2ACC6087FD166D01429DE6FFEB4832E6
campaign-0017,18,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,01CCDA1C4D155FB91E8D243D0D0D289C46B58F65179622CF0527CE147FF1ED95
campaign-0018,19,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,8B6E3E4B06E813D4F0306DB5A990BC5ECDAF6407801B346D5B3DDFCDBFC96F7E
campaign-0019,20,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,3F99B8D40FAD3C7E5ABC400DCC1892554059ECEABA63FAF1D6D3635134EDCB85
campaign-0020,21,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,69EE39BC69F5B6729C25AD300E3C6D28B5CA5FCA1BE4E93EFFDC4F4C9B0D0580
campaign-0021,22,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,A9A8D8DA03D7C1B39C76EBF9285E8BFE640B33CCDD9E2DF6E95A92A616F3E529
campaign-0022,23,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,9457E07522ED1F45575017CD24AC84147963642BE27A2B7519688A8E84AD7660
campaign-0023,24,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,25C667A7A694CCEB6BAD40EC870DB3F4DD72040B65F30E1324817DE60A143161
campaign-0024,25,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,F91C205F40FD99F3EC56F1EA7A146F8BF856D9F19A79B2BCAB19AE35D136E801
campaign-0025,26,0x00F49005,0x90,0x05,True,False,0x00F50105,0x01,0x05,True,False,17DD252E338D91C6BE69FA1F2465EC23ECBD6E064A372595D4AD3B8F46DA89F8
