command_sequence,scanner_state,group_index,entry_index,command_write,register,write_value,parent_cycles,off_cycles,on_cycles,added_cycles,off_us,on_us,classification
1,3,0,0,0,0xFF,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
2,4,0,0,1,0xFF,0x00,3755,3755,22505,18750,60.080,360.080,SUCCESSFUL_BANK_WRITE
3,5,0,0,0,0xFF,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
4,6,0,0,0,0xA8,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
5,4,1,0,1,0xFF,0x00,3755,3755,22505,18750,60.080,360.080,SUCCESSFUL_BANK_WRITE
6,5,1,0,0,0xFF,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
7,6,1,1,0,0xF4,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
8,6,1,2,0,0xF5,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
9,6,1,3,0,0x80,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
10,4,2,3,1,0xFF,0x00,3755,3755,22505,18750,60.080,360.080,SUCCESSFUL_BANK_WRITE
11,5,2,3,0,0xFF,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
12,6,2,4,0,0xA8,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
13,6,2,5,0,0xB0,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
14,6,2,6,0,0xE0,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
15,6,2,7,0,0xE1,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
16,6,2,8,0,0xE2,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
17,6,2,9,0,0x7A,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
18,6,2,10,0,0x7B,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
19,4,3,10,1,0xFF,0x00,3755,3755,22505,18750,60.080,360.080,SUCCESSFUL_BANK_WRITE
20,5,3,10,0,0xFF,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
21,6,3,11,0,0xE8,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
22,6,3,12,0,0x81,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
23,6,3,13,0,0x85,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
24,6,3,14,0,0x23,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
25,6,3,15,0,0xE9,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
26,6,3,16,0,0x82,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
27,6,3,17,0,0x86,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
28,6,3,18,0,0x27,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
29,6,3,19,0,0xEA,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
30,6,3,20,0,0x83,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
31,6,3,21,0,0x87,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
32,6,3,22,0,0x2B,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
33,6,3,23,0,0xEB,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
34,6,3,24,0,0x84,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
35,6,3,25,0,0x88,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
36,6,3,26,0,0x2F,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
37,4,4,26,1,0xFF,0x01,3755,3755,22505,18750,60.080,360.080,SUCCESSFUL_BANK_WRITE
38,5,4,26,0,0xFF,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
39,6,4,27,0,0x97,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
40,6,4,28,0,0x98,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
41,6,4,29,0,0x84,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
42,6,4,30,0,0x8C,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
43,6,4,31,0,0x85,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
44,6,4,32,0,0x8D,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
45,6,4,33,0,0x86,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
46,6,4,34,0,0x8E,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
47,6,4,35,0,0x87,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
48,6,4,36,0,0x8F,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
49,4,5,36,1,0xFF,0x05,3755,3755,22505,18750,60.080,360.080,SUCCESSFUL_BANK_WRITE
50,5,5,36,0,0xFF,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
51,6,5,37,0,0xF0,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
52,6,5,38,0,0xF2,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
53,6,5,39,0,0xF3,0x00,3755,3755,3755,0,60.080,60.080,UNAFFECTED
