row_id,rule,severity,destination,prior_source,current_source,semantic_family_or_support_set,prior_proof_class,protocol
CDC1-CHG-0286,CDC-1,Critical,G2B_ONECH_C2H/enable_applied_source_reg/D,G2B_ONECH_C2H/release_generation_axi_reg[0][5]/C,G2B_ONECH_C2H/release_epoch_axi_reg[2][4]/C,UNRECONCILED_SOURCE_BASE_DRIFT:RELEASE_EPOCH_STABLE_PAYLOAD->OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""enable_ack_toggle_source_to_enable_ack_sync2_axi"",""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; mismatch fails closed through fatal event and admission disable""]"
CDC-ALL-00357,CDC-1,Critical,G2B_ONECH_C2H/own_ack_toggle_source_reg/D,G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C,G2B_ONECH_C2H/transport_own_phase_hold_axi_reg/C,UNCHANGED_PHYSICAL_SOURCE,BYTE_IDENTICAL_TO_R2R1_DIAGNOSTIC,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION
CDC1-CHG-0287,CDC-1,Critical,G2B_ONECH_C2H/own_ok_hold_source_reg/D,G2B_ONECH_C2H/axis_slot_reg[0]/C,G2B_ONECH_C2H/axis_slot_reg[1]/C,"[{""Field"":""EPOCH"",""LeafFamily"":""OWNERSHIP_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":null,""SourceClock"":""userclk1"",""UseRole"":""OWNERSHIP_DECISION""},{""Field"":""GENERATION"",""LeafFamily"":""OWNERSHIP_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":null,""SourceClock"":""userclk1"",""UseRole"":""OWNERSHIP_DECISION""},{""Field"":""SLOT"",""LeafFamily"":""OWNERSHIP_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":null,""SourceClock"":""userclk1"",""UseRole"":""OWNERSHIP_DECISION""}]",SAME_FAMILY_REPRESENTATIVE_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi""]"
CDC-ALL-00359,CDC-1,Critical,G2B_ONECH_C2H/own_req_seen_source_reg/D,G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C,G2B_ONECH_C2H/transport_own_phase_hold_axi_reg/C,UNCHANGED_PHYSICAL_SOURCE,BYTE_IDENTICAL_TO_R2R1_DIAGNOSTIC,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION
CDC-ALL-00360,CDC-1,Critical,G2B_ONECH_C2H/release_seen_source_reg[0]/D,G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C,G2B_ONECH_C2H/transport_own_phase_hold_axi_reg/C,UNCHANGED_PHYSICAL_SOURCE,BYTE_IDENTICAL_TO_R2R1_DIAGNOSTIC,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION
CDC-ALL-00361,CDC-1,Critical,G2B_ONECH_C2H/release_seen_source_reg[1]/D,G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C,G2B_ONECH_C2H/transport_own_phase_hold_axi_reg/C,UNCHANGED_PHYSICAL_SOURCE,BYTE_IDENTICAL_TO_R2R1_DIAGNOSTIC,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION
CDC-ALL-00362,CDC-1,Critical,G2B_ONECH_C2H/release_seen_source_reg[2]/D,G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C,G2B_ONECH_C2H/transport_own_phase_hold_axi_reg/C,UNCHANGED_PHYSICAL_SOURCE,BYTE_IDENTICAL_TO_R2R1_DIAGNOSTIC,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION
CDC-ALL-00363,CDC-1,Critical,G2B_ONECH_C2H/release_seen_source_reg[3]/D,G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C,G2B_ONECH_C2H/transport_own_phase_hold_axi_reg/C,UNCHANGED_PHYSICAL_SOURCE,BYTE_IDENTICAL_TO_R2R1_DIAGNOSTIC,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION
CDC1-CHG-0288,CDC-1,Critical,G2B_ONECH_C2H/slot_state_source_reg[0][0]/D,G2B_ONECH_C2H/release_generation_axi_reg[0][5]/C,G2B_ONECH_C2H/release_generation_axi_reg[0][22]/C,UNRECONCILED_SOURCE_BASE_DRIFT:RELEASE_EPOCH_STABLE_PAYLOAD->OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; matching generation epoch reset epoch and DMA_OWNED state authorize RELEASABLE""]"
CDC1-CHG-0289,CDC-1,Critical,G2B_ONECH_C2H/slot_state_source_reg[0][1]/D,G2B_ONECH_C2H/release_generation_axi_reg[0][5]/C,G2B_ONECH_C2H/release_generation_axi_reg[0][22]/C,UNRECONCILED_SOURCE_BASE_DRIFT:RELEASE_EPOCH_STABLE_PAYLOAD->OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; matching generation epoch reset epoch and DMA_OWNED state authorize RELEASABLE""]"
