stage,scope,metric,candidate_3,candidate_4,delta_c4_minus_c3,interpretation
post_opt,whole_design,Slice_LUT,20456,20540,84,authoritative_non_nested_total
post_opt,whole_design,LUT_as_logic,19132,19216,84,authoritative_non_nested_total
post_opt,whole_design,LUT_as_memory,1324,1324,0,authoritative_non_nested_total
post_opt,whole_design,Slice_FF,21833,21812,-21,authoritative_non_nested_total
post_opt,whole_design,RAMB36E1,26,26,0,report_primitive_count
post_opt,whole_design,RAMB18E1,4,4,0,report_primitive_count
post_opt,AXI_LITE_HOST_BRIDGE,Slice_LUT,1551,1628,77,top_level_hierarchy_attribution_not_causal_proof
post_opt,CAPTURE_SUBSYSTEM,Slice_LUT,1135,1150,15,top_level_hierarchy_attribution_not_causal_proof
post_opt,NVP_SCAN_ACQ_WRAPPER,Slice_LUT,1682,1674,-8,top_level_hierarchy_attribution_not_causal_proof
post_opt,NVP_I2C_MASTER,Slice_LUT,245,243,-2,top_level_hierarchy_attribution_not_causal_proof
post_opt,NVP_AUTOINIT,Slice_LUT,2480,2482,2,top_level_hierarchy_attribution_not_causal_proof
post_opt,W3A_CHILD,Slice_LUT,184,156,-28,nested_diagnostic_do_not_sum_with_wrapper
post_opt,W3A_CHILD,Slice_FF,289,257,-32,nested_diagnostic_do_not_sum_with_wrapper
post_opt,SCAN1_LOCAL,Slice_LUT,1002,1027,25,nested_diagnostic_do_not_sum_with_wrapper
