operation	calls	elapsed_seconds	result
XSIM_OLD_COMPILE_ELABORATE_RUN	3	22.015	PASS_EXPECTED_DEADLOCK_REPRODUCTION
XSIM_PATCHED_COMPILE_ELABORATE_RUN	3	13.541	PASS
PROJECT_SETUP	1	70.423	PASS
SYNTH_DESIGN	1	1426.457	PASS
OPT_DESIGN	1	88.167	PASS
PLACE_DESIGN	1	628.936	PASS
PHYS_OPT_DESIGN	1	42.838	PASS
ROUTE_DESIGN	1	401.377	PASS
FINAL_TIMING_INVALID_OPTION_ATTEMPT	1	1.000	FAIL_NO_REPORT
AGGREGATE_BUS_SKEW	1	67.000	PASS_OFFLINE_RECONCILED
CONTROLLED_DCP_REOPEN	1	74.000	FAIL_RAW_XDC_HEADER_HASH
FINAL_TIMING_SUMMARY	0	0	NOT_RUN
FINAL_DRC	0	0	NOT_RUN
WRITE_BITSTREAM	0	0	NOT_RUN
