stage,functional_group,count_scope,lut_total,lut_logic,lut_memory,ff,ramb18,ramb36,dsp,share_of_design
POST_OPT,COMMON_CONTROL,ADDITIVE_TOP_LEVEL_PREPLACEMENT_REPORT,2646,2646,0,516,0,0,0,0.12324747
POST_OPT,PIO_CAPTURE,ADDITIVE_TOP_LEVEL_PREPLACEMENT_REPORT,1146,1146,0,2561,0,2,0,0.05337929
POST_OPT,G2B_C2H,ADDITIVE_TOP_LEVEL_PREPLACEMENT_REPORT,2114,2070,44,3165,0,4,0,0.09846756
POST_OPT,SCAN1_CH3_FEQ1,ADDITIVE_TOP_LEVEL_PREPLACEMENT_REPORT,2526,2430,96,3218,2,1,0,0.11765802
POST_OPT,NVP_START_I2C,ADDITIVE_TOP_LEVEL_PREPLACEMENT_REPORT,2724,2724,0,1884,0,0,0,0.12688062
POST_OPT,IP_VENDOR_FRONTEND,ADDITIVE_TOP_LEVEL_PREPLACEMENT_REPORT,10313,9129,1184,11619,3,19,0,0.48036704
FINAL_ROUTED,SHARED_CROSS_GROUP_LUT,DISJOINT_PHYSICAL_SITE_LUT;CROSS_GROUP_SHARING_SEPARATE,24,24,0,0,0,0,0,0.00115646
FINAL_ROUTED,COMMON_CONTROL,DISJOINT_PHYSICAL_SITE_LUT;CROSS_GROUP_SHARING_SEPARATE,2517,2517,0,516,0,0,0,0.12128367
FINAL_ROUTED,PIO_CAPTURE,DISJOINT_PHYSICAL_SITE_LUT;CROSS_GROUP_SHARING_SEPARATE,1092,1092,0,2561,0,2,0,0.0526189
FINAL_ROUTED,G2B_C2H,DISJOINT_PHYSICAL_SITE_LUT;CROSS_GROUP_SHARING_SEPARATE,2037,1997,40,3165,0,4,0,0.09815448
FINAL_ROUTED,SCAN1_CH3_FEQ1,DISJOINT_PHYSICAL_SITE_LUT;CROSS_GROUP_SHARING_SEPARATE,2464,2370,94,3218,2,1,0,0.11872982
FINAL_ROUTED,NVP_START_I2C,DISJOINT_PHYSICAL_SITE_LUT;CROSS_GROUP_SHARING_SEPARATE,2698,2698,0,1884,0,0,0,0.1300053
FINAL_ROUTED,IP_VENDOR_FRONTEND,DISJOINT_PHYSICAL_SITE_LUT;CROSS_GROUP_SHARING_SEPARATE,9921,8802,1119,11619,3,19,0,0.47805137
