OBSERVER_OUTPUT,ENDPOINT,CLASSIFICATION
NVP_I2C_TRACE_OBSERVER/read_data[0],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[0]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[10],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[10]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[11],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[11]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[12],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[12]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[13],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[13]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[14],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[14]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[15],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[15]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[16],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[16]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[17],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[17]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[18],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[18]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[19],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[19]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[1],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[1]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[20],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[20]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[21],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[21]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[22],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[22]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[23],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[23]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[24],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[24]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[25],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[25]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[26],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[26]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[27],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[27]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[28],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[28]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[29],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[29]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[2],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[2]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[30],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[30]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[31],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[31]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[32],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[0]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[33],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[1]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[34],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[2]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[35],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[3]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[36],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[4]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[37],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[5]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[38],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[6]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[39],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[7]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[3],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[3]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[40],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[8]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[41],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[9]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[42],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[10]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[43],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[11]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[44],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[12]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[45],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[13]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[46],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[14]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[47],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[15]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[48],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[16]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[49],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[17]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[4],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[4]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[50],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[18]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[51],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[19]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[52],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[20]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[53],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[21]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[54],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[22]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[55],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[23]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[56],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[24]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[57],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[25]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[58],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[26]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[59],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[27]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[5],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[5]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[60],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[28]/D,READOUT_PATH
