PHYSICAL_OUTPUT,OBUF,STARTPOINT,CLASSIFICATION
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[10]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[11]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[12]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[13]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[14]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[15]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[16]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[17]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[18]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[19]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[20]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[21]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[22]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[23]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[24]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[25]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[26]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[4]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[5]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[6]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[7]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[8]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,NVP_AUTOINIT/delay_count_reg[9]/C,SAFE_NON_FSM_STARTPOINT
nvp_rst,nvp_rst_OBUF_inst,nvp_por_reset_reg/C,SAFE_NON_FSM_STARTPOINT
