sample_index,relative_cycles_from_trigger,relative_time_ns,sda_stage1,sda_stage2,sda_filtered,scl_stage1,scl_stage2,scl_filtered,sda_drive_low,scl_drive_low,ack_decision_strobe,ack_value_used,first_nack_event,first_nack_latched,nvp_reset,vdd1_enable,vdd3_enable,init_active,bit_index,byte_phase,fsm_state,operation_index,current_tx_byte,init_done,init_error,first_error_code,first_error_valid,raw_hex
3056,-16,-256,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3057,-15,-240,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3058,-14,-224,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3059,-13,-208,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3060,-12,-192,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3061,-11,-176,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3062,-10,-160,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3063,-9,-144,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3064,-8,-128,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3065,-7,-112,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3066,-6,-96,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3067,-5,-80,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3068,-4,-64,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3069,-3,-48,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3070,-2,-32,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3071,-1,-16,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F087
3072,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,7,14,96,0,0,0,0,0x000600E07010F587
3073,1,16,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F807
3074,2,32,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F807
3075,3,48,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F807
3076,4,64,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F807
3077,5,80,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F80F
3078,6,96,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F81F
3079,7,112,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F81F
3080,8,128,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F81F
3081,9,144,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F83F
3082,10,160,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F83F
3083,11,176,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F83F
3084,12,192,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F83F
3085,13,208,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F83F
3086,14,224,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F83F
3087,15,240,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F83F
3088,16,256,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,7,2,8,14,8,0,0,1,1,0x404080E08027F83F
