sample_index,relative_cycles_from_trigger,relative_time_ns,sda_stage1,sda_stage2,sda_filtered,scl_stage1,scl_stage2,scl_filtered,sda_drive_low,scl_drive_low,ack_decision_strobe,ack_value_used,first_nack_event,first_nack_latched,nvp_reset,vdd1_enable,vdd3_enable,init_active,bit_index,byte_phase,fsm_state,operation_index,current_tx_byte,init_done,init_error,first_error_code,first_error_valid,raw_hex
2048,-1024,-16384,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2049,-1023,-16368,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2050,-1022,-16352,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2051,-1021,-16336,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2052,-1020,-16320,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2053,-1019,-16304,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2054,-1018,-16288,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2055,-1017,-16272,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2056,-1016,-16256,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2057,-1015,-16240,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2058,-1014,-16224,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2059,-1013,-16208,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2060,-1012,-16192,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2061,-1011,-16176,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2062,-1010,-16160,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2063,-1009,-16144,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2064,-1008,-16128,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2065,-1007,-16112,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2066,-1006,-16096,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2067,-1005,-16080,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2068,-1004,-16064,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2069,-1003,-16048,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2070,-1002,-16032,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2071,-1001,-16016,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2072,-1000,-16000,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2073,-999,-15984,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2074,-998,-15968,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2075,-997,-15952,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2076,-996,-15936,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2077,-995,-15920,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2078,-994,-15904,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2079,-993,-15888,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2080,-992,-15872,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2081,-991,-15856,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2082,-990,-15840,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2083,-989,-15824,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2084,-988,-15808,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2085,-987,-15792,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2086,-986,-15776,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2087,-985,-15760,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2088,-984,-15744,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2089,-983,-15728,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2090,-982,-15712,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2091,-981,-15696,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
