sample_index,relative_cycles_from_trigger,relative_time_ns,sda_stage1,sda_stage2,sda_filtered,scl_stage1,scl_stage2,scl_filtered,sda_drive_low,scl_drive_low,ack_decision_strobe,ack_value_used,first_nack_event,first_nack_latched,nvp_reset,vdd1_enable,vdd3_enable,init_active,bit_index,byte_phase,fsm_state,operation_index,current_tx_byte,init_done,init_error,first_error_code,first_error_valid,raw_hex
2048,-1024,-16384,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2049,-1023,-16368,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2050,-1022,-16352,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2051,-1021,-16336,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2052,-1020,-16320,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2053,-1019,-16304,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2054,-1018,-16288,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2055,-1017,-16272,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2056,-1016,-16256,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2057,-1015,-16240,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2058,-1014,-16224,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2059,-1013,-16208,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2060,-1012,-16192,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2061,-1011,-16176,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2062,-1010,-16160,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2063,-1009,-16144,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2064,-1008,-16128,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2065,-1007,-16112,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2066,-1006,-16096,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2067,-1005,-16080,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2068,-1004,-16064,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2069,-1003,-16048,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2070,-1002,-16032,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2071,-1001,-16016,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2072,-1000,-16000,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2073,-999,-15984,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2074,-998,-15968,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
