"Execution_Order","Timestamp_Start","Timestamp_End","Run_ID","Round_ID","Cell","Candidate","Bitstream_SHA256","Trial_Type","Primary_Denominator","Cold_Start","Owner_Reset_Receipt","Programming_Result","Runtime_Identity","INIT_DONE","INIT_ERROR","Video","WADDR_NACK","REGADDR_NACK","DATA_NACK","Total_NACK","Classification","Notes","Source_Log"
"0","2026-08-28T10:48:38.4616279Z","2026-08-28T11:44:34.4852745Z","BASELINE_FORMAL_001","UNKNOWN","FORMAL","Formal Phase-2","7E4E909D78C2BE5C1E0ECA56229F2B88ECC2DBF5974B32BDF07EF1AFCD9449A2","PRE_PROBE","NO","NO","NO","PASS_SAME_SESSION_DONE_1","PASS; FORMAL_SAFE_BASELINE_IDENTITY_GATE","1","1","NO","0","0","0","0","BASELINE_OBSERVATION","Sealed non-primary safe-baseline establishment. Start is the successful baseline programming-wrapper UTC_START; primary countability is explicitly NO.","C:\AHD_R2_OWNER_EXEC_20260828\baseline\program\PROGRAM_STDOUT_STDERR.log:1-2; C:\AHD_R2_OWNER_EXEC_20260828\baseline\program\PROGRAM_RECEIPT.txt:1-19; C:\AHD_R2_OWNER_EXEC_20260828\baseline\formal_capture_v3\R2_CANDIDATE_CAPTURE_RECEIPT.txt:4-110; C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\controls\SAFE_FORMAL_BASELINE_BASELINE_FORMAL_001.txt:1-22"
"1","2026-08-28T11:45:40.9701907Z","2026-08-28T12:22:46.6484088Z","R2OM-R01-P1-C0","R01","C0","exact R1h","73E973A42083D7D22CF427ED09B73F8DE2D2C05506697EA36E1FA1B5F7163C41","PRIMARY_CAUSAL_RUN","YES","NO","NO","PASS_SAME_SESSION_DONE_1","PASS; source_commit=c4f4bfcf577c92c3021d1fe83c05878dd12e001c","1","1","NO","2","4","4","11","FAIL","Originally recorded as R01_C0; later hash-bound import maps it to frozen sequence 1. Safe Formal baseline restored and committed.","C:\AHD_R2_OWNER_EXEC_20260828\primary\R01_C0\pre_program\PRE_PROGRAM_HOST_GATE.txt:1-4; C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\R2_PRIMARY_RAW_RESULTS_APPEND_ONLY.csv:2; C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\controls\SAFE_FORMAL_BASELINE_AFTER_R01_C0.txt:5-25"
"2","2026-08-28T12:23:47.0230740Z","2026-08-28T13:12:22.6048222Z","R2OM-R01-P2-C1","R01","C1","R1i-a","847B2ECE6BAD25A5802677D0125EF0C6A12C87B949E0AD96954500F30434534D","PRIMARY_CAUSAL_RUN","YES","NO","NO","PASS_SAME_SESSION_DONE_1","PASS; source_commit=8b8ec0fa9c22965e46d0421c25e63d83e7971597","1","0","YES","0","0","0","0","INCONCLUSIVE","Originally recorded as R02_C1; later hash-bound import maps it to frozen sequence 2. Safe Formal baseline restored and committed.","C:\AHD_R2_OWNER_EXEC_20260828\primary\R02_C1\pre_program\PRE_PROGRAM_HOST_GATE.txt:1-4; C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\R2_PRIMARY_RAW_RESULTS_APPEND_ONLY.csv:3; C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\controls\SAFE_FORMAL_BASELINE_AFTER_R02_C1.txt:5-25"
"3","2026-08-28T13:39:47.4762624Z","2026-08-28T14:10:15.1617455Z","R2OM-R01-P3-C3","R01","C3","exact qualified R1i","F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6","PRIMARY_CAUSAL_RUN","YES","NO","NO","PASS_SAME_SESSION_DONE_1","PASS; source_commit=20c3323d79d3896edc586d6db1df7deee60f9e41","1","0","YES","0","0","0","0","CLEAN_PASS","Committed frozen sequence 3; safe Formal baseline restored.","C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\R2_PRIMARY_RAW_RESULTS_APPEND_ONLY.csv:4; R2_PRIMARY_CAMPAIGN_LEDGER.jsonl:3,30"
"4","2026-08-28T14:18:17.7168509Z","2026-08-28T14:52:18.8370157Z","R2OM-R01-P4-C2","R01","C2","R1i-b","2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D","PRIMARY_CAUSAL_RUN","YES","NO","NO","PASS_SAME_SESSION_DONE_1","PASS; source_commit=e4d10bb8e85e3797d078144fd0965e9625ee727c","1","0","YES","0","0","0","0","CLEAN_PASS","Committed frozen sequence 4; safe Formal baseline restored.","C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\R2_PRIMARY_RAW_RESULTS_APPEND_ONLY.csv:5; R2_PRIMARY_CAMPAIGN_LEDGER.jsonl:31,58"
"5","2026-08-28T14:52:29.1248881Z","2026-08-28T15:22:42.1528404Z","R2OM-R02-P1-C1","R02","C1","R1i-a","847B2ECE6BAD25A5802677D0125EF0C6A12C87B949E0AD96954500F30434534D","PRIMARY_CAUSAL_RUN","YES","NO","NO","PASS_SAME_SESSION_DONE_1","PASS; source_commit=8b8ec0fa9c22965e46d0421c25e63d83e7971597","1","0","YES","0","0","0","0","INCONCLUSIVE","Committed frozen sequence 5; safe Formal baseline restored.","C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\R2_PRIMARY_RAW_RESULTS_APPEND_ONLY.csv:6; R2_PRIMARY_CAMPAIGN_LEDGER.jsonl:59,86"
"6","2026-08-28T15:23:02.5149074Z","2026-08-28T15:53:52.8327626Z","R2OM-R02-P2-C2","R02","C2","R1i-b","2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D","PRIMARY_CAUSAL_RUN","YES","NO","NO","PASS_SAME_SESSION_DONE_1","PASS; source_commit=e4d10bb8e85e3797d078144fd0965e9625ee727c","1","0","YES","0","1","0","1","RECOVERED_PASS","Committed frozen sequence 6. One DUT transaction-level recovery occurred; this was not a campaign-run retry.","C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\R2_PRIMARY_RAW_RESULTS_APPEND_ONLY.csv:7; R2_PRIMARY_CAMPAIGN_LEDGER.jsonl:87,114"
"7","2026-08-28T15:54:20.7497457Z","2026-08-28T16:27:09.9966424Z","R2OM-R02-P3-C0","R02","C0","exact R1h","73E973A42083D7D22CF427ED09B73F8DE2D2C05506697EA36E1FA1B5F7163C41","PRIMARY_CAUSAL_RUN","YES","NO","NO","PASS_SAME_SESSION_DONE_1","PASS; source_commit=c4f4bfcf577c92c3021d1fe83c05878dd12e001c","1","1","NO","3","4","6","13","FAIL","Committed frozen sequence 7; safe Formal baseline restored.","C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\R2_PRIMARY_RAW_RESULTS_APPEND_ONLY.csv:8; R2_PRIMARY_CAMPAIGN_LEDGER.jsonl:115,142"
"8","2026-08-28T16:27:44.9305740Z","2026-08-28T17:00:50.0950012Z","R2OM-R02-P4-C3","R02","C3","exact qualified R1i","F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6","PRIMARY_CAUSAL_RUN","YES","NO","NO","PASS_SAME_SESSION_DONE_1","PASS; source_commit=20c3323d79d3896edc586d6db1df7deee60f9e41","1","0","YES","0","0","0","0","CLEAN_PASS","Committed frozen sequence 8; safe Formal baseline restored. This completed frozen round R02.","C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\R2_PRIMARY_RAW_RESULTS_APPEND_ONLY.csv:9; R2_PRIMARY_CAMPAIGN_LEDGER.jsonl:143,170"
"9","2026-08-28T17:01:31.8107860Z","UNKNOWN","R2OM-R03-P1-C2","R03","C2","R1i-b","2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D","PRIMARY_CAUSAL_RUN","YES","NO","NO","PASS_SAME_SESSION_DONE_1","PASS; source_commit=e4d10bb8e85e3797d078144fd0965e9625ee727c","1","0","YES","0","2","0","2","RECOVERED_PASS","Countable scientific capture sealed before the cutoff, with two DUT transaction-level recoveries. Arm end is UNKNOWN because safe restoration and run commit were not complete at ledger cutoff index 182. Not counted among the eight completed arms.","C:\Users\Łukasz Suduł\Documents\ChatGPT\AHD_20260807\R2_OWNER_MEDIATED_CONTINUATION_STAGE\R2_PRIMARY_CAMPAIGN_ORCHESTRATED_AFTER_R02\R2_PRIMARY_RAW_RESULTS_APPEND_ONLY.csv:10; R2_PRIMARY_CAMPAIGN_LEDGER.jsonl:171-182"
