trial_number,power_reset_method,firmware_identity,bitstream_sha256,configuration_persisted,nvp_power_cycled,host_pcie_reset_reenumeration,init_done,init_error,waddr_nack,regaddr_nack,data_nack,retry_count,recovered_count,retry_exhausted,scl_timeout,video_present,frame_rate_hz,trial_status,blocker
1,NOT_RUN,C3,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
2,NOT_RUN,C3,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
3,NOT_RUN,C3,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
4,NOT_RUN,C3,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
5,NOT_RUN,C3,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
6,NOT_RUN,C3,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
7,NOT_RUN,C3,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
8,NOT_RUN,C3,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
9,NOT_RUN,C3,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
10,NOT_RUN,C3,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
