"sequence_index","matrix_row","matrix_position","candidate","candidate_name","bitstream_sha256","run_id","start_protocol","planned_status","execution_status","classification","r0_primary_run_countable","programming_result","independent_done","init_done","init_error","total_autoinit_nack","retry_count","recovered_count","retry_exhausted","scl_timeout","video_present","frame_rate_hz","safe_formal_baseline_restored","halt_after_safe_restore","halt_reason","candidate_capture_receipt_sha256","run_commit_receipt_sha256","next_safe_baseline_receipt_sha256","evidence_basis"
"1","1","1","C0","exact R1h","73E973A42083D7D22CF427ED09B73F8DE2D2C05506697EA36E1FA1B5F7163C41","R2OM-R01-P1-C0","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","COMPLETED_COUNTABLE","FAIL","YES","PASS_SAME_SESSION_DONE_1","1","1","1","11","0","0","0","0","NO","0.000000","YES","NO","NONE","82D3800DD852EC9EE37EA88386C17FA996426AF9B47B19E6E9182AC11A2F4178","48D533023FE3C04FDCB8B1A38A15C73E26838A34F9F38F207165E4914E54C9AF","30193A4BD883EB5DDB9996D75C19556CE21EEC8E7E5ACFFE0B56DF7F36FAB6A9","APPEND_ONLY_RAW_AND_COMPLETION"
"2","1","2","C1","R1i-a","847B2ECE6BAD25A5802677D0125EF0C6A12C87B949E0AD96954500F30434534D","R2OM-R01-P2-C1","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","COMPLETED_COUNTABLE","INCONCLUSIVE","YES","PASS_SAME_SESSION_DONE_1","1","1","0","0","0","0","0","0","YES","25.795496","YES","NO","NONE","70C53E2FB33CCA79A1988FF50B8394815FDE43BDD647E884F4465193FA730C7F","3D290F31B7EBFFE8CD9C24A768B1B7D95369640992A6E33779E9B682A23CFA76","D2846A9C72D3CA3FB6E600F86C28964B937D1051864719714E774EE5077AC836","APPEND_ONLY_RAW_AND_COMPLETION"
"3","1","3","C3","exact qualified R1i","F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6","R2OM-R01-P3-C3","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","COMPLETED_COUNTABLE","CLEAN_PASS","YES","PASS_SAME_SESSION_DONE_1","1","1","0","0","0","0","0","0","YES","24.799186","YES","NO","NONE","AF8CC44448E89C65889FF017C409F6C7A7246D3DEF7FF6D47D44E3BDEF6C814B","F4D277002BFFAF33F2B67968A0B0E75A2529E713C33B4A508E5D05746FC86926","9E436F1EBFE5267C168F0FBD57175E04134EB30D293B9190BCE6D39027FD47C0","APPEND_ONLY_RAW_AND_COMPLETION"
"4","1","4","C2","R1i-b","2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D","R2OM-R01-P4-C2","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","COMPLETED_COUNTABLE","CLEAN_PASS","YES","PASS_SAME_SESSION_DONE_1","1","1","0","0","0","0","0","0","YES","24.808690","YES","NO","NONE","2B89054AB633DC6E5510031B6B45A2D0DD4E55FDC37242DD87D3AC2044E6C063","A6F096B6CEA666432946574732859F1A77B15D28D434F73B9277A65AED807276","4E41E5A08D0D38B67355D3BE5FC0F4E3052B14C4487865375281C08DBCF3AEAF","APPEND_ONLY_RAW_AND_COMPLETION"
"5","2","1","C1","R1i-a","847B2ECE6BAD25A5802677D0125EF0C6A12C87B949E0AD96954500F30434534D","R2OM-R02-P1-C1","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","COMPLETED_COUNTABLE","INCONCLUSIVE","YES","PASS_SAME_SESSION_DONE_1","1","1","0","0","0","0","0","0","YES","25.794836","YES","NO","NONE","B20D418E0AB1B3A5F3BEA3C9EA30D28A3B62130CE44A9C005A2ABAE0973EC06A","04A669F85CA396209AFC4E0BD76EEC11A1C9B93311E457F919507B1A39739E4E","65BDCA7C54F1ABA394692F908DF94AA81A487B6719E5B0D1B6BF4A11516EF631","APPEND_ONLY_RAW_AND_COMPLETION"
"6","2","2","C2","R1i-b","2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D","R2OM-R02-P2-C2","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","COMPLETED_COUNTABLE","RECOVERED_PASS","YES","PASS_SAME_SESSION_DONE_1","1","1","0","1","1","1","0","0","YES","25.797844","YES","NO","NONE","F1FC99C5CB94BD551986B40D3834DB04089D5C0ABA4EDAE603476D6EFDF7CC05","4B5C477295C350BF1231894269A217C6766AC6B135D0BF43D463DAAE3F41948C","61D1EF1A3690FA23B79A8B645B3377B02AEB8C2478139D8993F562A8CB9B3CEC","APPEND_ONLY_RAW_AND_COMPLETION"
"7","2","3","C0","exact R1h","73E973A42083D7D22CF427ED09B73F8DE2D2C05506697EA36E1FA1B5F7163C41","R2OM-R02-P3-C0","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","COMPLETED_COUNTABLE","FAIL","YES","PASS_SAME_SESSION_DONE_1","1","1","1","13","0","0","0","0","NO","0.000000","YES","NO","NONE","82DF4E88B209C1B73FC85D024A1F278EF5AB2578B2546B267CD3129800C7EFCF","3FD86F5BC918BCE2C3277E0B1708C454933EC37715BEC77F1597335CF077C4FD","72B893976DF40A3DFE76D48F6DF64FB55033CA4333C85A996509A37413D4C7D5","APPEND_ONLY_RAW_AND_COMPLETION"
"8","2","4","C3","exact qualified R1i","F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6","R2OM-R02-P4-C3","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","COMPLETED_COUNTABLE","CLEAN_PASS","YES","PASS_SAME_SESSION_DONE_1","1","1","0","0","0","0","0","0","YES","24.804729","YES","NO","NONE","51E1B316D87C0F8C5F38387F261D9D0CFB955807EB0046AB55F53D4AE258373C","6C75548ACC3C6976FC283EA6D6B150A8AFA8250B81613B113401E8FAB9F20270","85D88BBFA2DBB70CE5AA0B4E9E387341FCB7A78185B3ABF6139ED3907CEC46A5","APPEND_ONLY_RAW_AND_COMPLETION"
"9","3","1","C2","R1i-b","2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D","R2OM-R03-P1-C2","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","COMPLETED_COUNTABLE","RECOVERED_PASS","YES","PASS_SAME_SESSION_DONE_1","1","1","0","2","2","2","0","0","YES","24.806087","YES","NO","NONE","D9383C4A87B1D1196206A5003E2B07D3F99D2D93DA422D0A7AA4DDDDE33C94D1","8445BECAAB358114F9BCA70C9B3B8AA504C983F989EC2B6B1DD517F1BD4B1C20","10FDB21C4DE5C412FEE86DF67FA9263137CF399DBE20926C63E8D01E72427704","APPEND_ONLY_RAW_AND_COMPLETION"
"10","3","2","C3","exact qualified R1i","F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6","R2OM-R03-P2-C3","VOLATILE_PROGRAM_WARM_REBOOT","PLANNED","COMPLETED_COUNTABLE","INCONCLUSIVE","YES","PASS_SAME_SESSION_DONE_1","1","1","0","0","0","0","0","0","YES","25.776567","YES","YES","C3_NON_CLEAN_SUSPEND_BLOCK","C911525528E125CE382024BA0D56B845564C94ADD1CE61FF009C5B308910E010","3C7F8DBFD4BB64BEF39140F0BE136F37E0A7B8DF0766FD71255509742489B801","26E2FFCEEA193E834CB80777A1E34EA618EDF6E6FECE4E067CD3000EC8E849AF","APPEND_ONLY_RAW_AND_COMPLETION"
