"sequence_index","row","position","candidate","run_id","classification","r0_primary_run_countable","safe_formal_baseline_restored","run_commit_receipt_sha256","next_safe_baseline_receipt_sha256","halt_after_safe_restore","halt_reason"
"1","1","1","C0","R2OM-R01-P1-C0","FAIL","YES","YES","48D533023FE3C04FDCB8B1A38A15C73E26838A34F9F38F207165E4914E54C9AF","30193A4BD883EB5DDB9996D75C19556CE21EEC8E7E5ACFFE0B56DF7F36FAB6A9","NO","NONE"
"2","1","2","C1","R2OM-R01-P2-C1","INCONCLUSIVE","YES","YES","3D290F31B7EBFFE8CD9C24A768B1B7D95369640992A6E33779E9B682A23CFA76","D2846A9C72D3CA3FB6E600F86C28964B937D1051864719714E774EE5077AC836","NO","NONE"
"3","1","3","C3","R2OM-R01-P3-C3","CLEAN_PASS","YES","YES","F4D277002BFFAF33F2B67968A0B0E75A2529E713C33B4A508E5D05746FC86926","9E436F1EBFE5267C168F0FBD57175E04134EB30D293B9190BCE6D39027FD47C0","NO","NONE"
"4","1","4","C2","R2OM-R01-P4-C2","CLEAN_PASS","YES","YES","A6F096B6CEA666432946574732859F1A77B15D28D434F73B9277A65AED807276","4E41E5A08D0D38B67355D3BE5FC0F4E3052B14C4487865375281C08DBCF3AEAF","NO","NONE"
"5","2","1","C1","R2OM-R02-P1-C1","INCONCLUSIVE","YES","YES","04A669F85CA396209AFC4E0BD76EEC11A1C9B93311E457F919507B1A39739E4E","65BDCA7C54F1ABA394692F908DF94AA81A487B6719E5B0D1B6BF4A11516EF631","NO","NONE"
"6","2","2","C2","R2OM-R02-P2-C2","RECOVERED_PASS","YES","YES","4B5C477295C350BF1231894269A217C6766AC6B135D0BF43D463DAAE3F41948C","61D1EF1A3690FA23B79A8B645B3377B02AEB8C2478139D8993F562A8CB9B3CEC","NO","NONE"
"7","2","3","C0","R2OM-R02-P3-C0","FAIL","YES","YES","3FD86F5BC918BCE2C3277E0B1708C454933EC37715BEC77F1597335CF077C4FD","72B893976DF40A3DFE76D48F6DF64FB55033CA4333C85A996509A37413D4C7D5","NO","NONE"
"8","2","4","C3","R2OM-R02-P4-C3","CLEAN_PASS","YES","YES","6C75548ACC3C6976FC283EA6D6B150A8AFA8250B81613B113401E8FAB9F20270","85D88BBFA2DBB70CE5AA0B4E9E387341FCB7A78185B3ABF6139ED3907CEC46A5","NO","NONE"
"9","3","1","C2","R2OM-R03-P1-C2","RECOVERED_PASS","YES","YES","8445BECAAB358114F9BCA70C9B3B8AA504C983F989EC2B6B1DD517F1BD4B1C20","10FDB21C4DE5C412FEE86DF67FA9263137CF399DBE20926C63E8D01E72427704","NO","NONE"
"10","3","2","C3","R2OM-R03-P2-C3","INCONCLUSIVE","YES","YES","3C7F8DBFD4BB64BEF39140F0BE136F37E0A7B8DF0766FD71255509742489B801","26E2FFCEEA193E834CB80777A1E34EA618EDF6E6FECE4E067CD3000EC8E849AF","YES","C3_NON_CLEAN_SUSPEND_BLOCK"
