sequence_index,run_id,candidate,historical_classification,population,bitstream_sha256,runtime_source_commit,block_id,protocol,capabilities,diagnostic_magic,runtime_build_flags,programming_result,program_receipt_sha256,independent_done,independent_done_receipt_sha256,host_transition_receipt_sha256,program_completed_utc,done_completed_utc,remote_capture_utc,epoch,boot_id,host,kernel,endpoint_identity,pcie_link,xdma_module_sha256,init_done,init_error,nvp_status_word,total_autoinit_nack,retry_count,recovered_count,retry_exhausted,scl_timeout,bad_marker_count,bad_length_count,overflow_count,malformed_count,dropped_count,nvp_lock_state,video_present,frame_delta,frame_elapsed_s,frame_hz,vclk_hz,sav_hz,sav_derived_frame_hz_1125_lines,formal_restore_pass,formal_receipt_sha256,candidate_capture_receipt_sha256,aggregate_raw_capture_sha256,independently_recorded_abnormality_beyond_frame
1,R2OM-R01-P1-C0,C0,FAIL,ZERO,73E973A42083D7D22CF427ED09B73F8DE2D2C05506697EA36E1FA1B5F7163C41,c4f4bfcf577c92c3021d1fe83c05878dd12e001c,0xA40A0C07,0x0000400B,0x00031002,0x314B4C43,0x00000002,PASS_SAME_SESSION_DONE_1,IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING,1,IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING,2DA2525F90D48DD30BF2A63617563314825EA727CB5528D8B18091BC691FDAFF,IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING,IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING,2026-08-28T12:04:42.615684466Z,WARM,c2764ac1-bf91-4025-bb6c-ff91c1b613ee,VCDE-DUT-1,7.0.0-29-generic,10ee:7011 subsystem 10ee:0007 class 058000,GEN1_X1,1AEF06244DF308FEE544A2662B73855C81BEB88BC929E7885D8D113E474B320A,1,1,0x000000FB,11,0,0,0,0,0,0,0,0,0,NOT_RECORDED,NO,0,1.007925650499999,0,148500926.90328673,0,0,YES,30193A4BD883EB5DDB9996D75C19556CE21EEC8E7E5ACFFE0B56DF7F36FAB6A9,82D3800DD852EC9EE37EA88386C17FA996426AF9B47B19E6E9182AC11A2F4178,FBFA2A398F38E896280523EF31F5BA41E0AC5AF9330BFAFC091E33D4325DA2DE,NOT_APPLICABLE
2,R2OM-R01-P2-C1,C1,INCONCLUSIVE,B_26_EVENTS,847B2ECE6BAD25A5802677D0125EF0C6A12C87B949E0AD96954500F30434534D,8b8ec0fa9c22965e46d0421c25e63d83e7971597,0xA40A0C07,0x0000400B,0x00031002,0x314B4C43,0x00000002,PASS_SAME_SESSION_DONE_1,IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING,1,IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING,2889B6EDD29F135DB71A2BDEC81B8CAFEEA5C225006942DB569D8B592CE1B94A,IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING,IMPORTED_PREORCHESTRATOR_NOT_IN_PREFIX_BINDING,2026-08-28T12:43:00.550135121Z,WARM,f9579d81-131a-499c-a8b7-27a0d45d943a,VCDE-DUT-1,7.0.0-29-generic,10ee:7011 subsystem 10ee:0007 class 058000,GEN1_X1,1AEF06244DF308FEE544A2662B73855C81BEB88BC929E7885D8D113E474B320A,1,0,0x000000F9,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED,YES,26,1.0079278999999985,25.795495888148388,148500419.69912675,28125.49765315731,25.00044235836205,YES,D2846A9C72D3CA3FB6E600F86C28964B937D1051864719714E774EE5077AC836,70C53E2FB33CCA79A1988FF50B8394815FDE43BDD647E884F4465193FA730C7F,0C11C01B3954539D7CF320D76723DAC02878D7CF6227C41637EC89D0F66C472F,NOT_APPLICABLE
3,R2OM-R01-P3-C3,C3,CLEAN_PASS,A_25_EVENTS,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,20c3323d79d3896edc586d6db1df7deee60f9e41,0xA40A0C07,0x0000400B,0x00031002,0x314B4C43,0x00000002,PASS_SAME_SESSION_DONE_1,DB26B4402BC12322E4FC8C7DF0F391DB8FFEC9AB276E3162F8BAE2738EF74E81,1,935C6716ECBF64AA712E7CA9CD75DABE8BF957F66970660AAB0111D0E1BC8028,6EFD6F645BDF8177A55BB56063A526A8717280CB09B425FDCD25322A4CACAD86,2026-08-28T13:47:08.4235598Z,2026-08-28T13:53:55.9912831Z,2026-08-28T13:56:14.271902637Z,WARM,c75e10c6-ceef-4fea-8aa0-c1bbdf839bed,VCDE-DUT-1,7.0.0-29-generic,10ee:7011 subsystem 10ee:0007 class 058000,GEN1_X1,1AEF06244DF308FEE544A2662B73855C81BEB88BC929E7885D8D113E474B320A,1,0,0x000000F9,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED,YES,25,1.0080975955000042,24.79918622125103,148500299.80902597,28124.804602577944,24.999826313402618,YES,9E436F1EBFE5267C168F0FBD57175E04134EB30D293B9190BCE6D39027FD47C0,AF8CC44448E89C65889FF017C409F6C7A7246D3DEF7FF6D47D44E3BDEF6C814B,0E2F02B7551620E60C45C752946257966F09ED6A82098A6C5FBFAB4F08906C1D,NOT_APPLICABLE
4,R2OM-R01-P4-C2,C2,CLEAN_PASS,A_25_EVENTS,2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D,e4d10bb8e85e3797d078144fd0965e9625ee727c,0xA40A0C07,0x0000400B,0x00031002,0x314B4C43,0x00000002,PASS_SAME_SESSION_DONE_1,6E53EE8F42154BD845D36C11B27DAB93CB13ECDF83B35003E15FF8070234AE64,1,B4916FD0CD01AA12EDB90A4AEABF7A2EE58911E7293AFB21DC6DEF99E03FBB67,C11B884CC88EEC2E761049160532E526389FEC9910270CC9E5F81ED4CB141DF4,2026-08-28T14:24:18.5401186Z,2026-08-28T14:31:04.3183281Z,2026-08-28T14:33:14.911984234Z,WARM,e1260e4e-7caa-455f-82e3-a8c4445c976d,VCDE-DUT-1,7.0.0-29-generic,10ee:7011 subsystem 10ee:0007 class 058000,GEN1_X1,1AEF06244DF308FEE544A2662B73855C81BEB88BC929E7885D8D113E474B320A,1,0,0x000000F9,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED,YES,25,1.0077114090000094,24.808690044313835,148500254.33430246,28124.66316388037,24.999700590115886,YES,4E41E5A08D0D38B67355D3BE5FC0F4E3052B14C4487865375281C08DBCF3AEAF,2B89054AB633DC6E5510031B6B45A2D0DD4E55FDC37242DD87D3AC2044E6C063,0AEC029F7EFB94B66DDB0C2EEAE3F783B89FD494FA49B8BF037F21E30ED6CEAB,NOT_APPLICABLE
5,R2OM-R02-P1-C1,C1,INCONCLUSIVE,B_26_EVENTS,847B2ECE6BAD25A5802677D0125EF0C6A12C87B949E0AD96954500F30434534D,8b8ec0fa9c22965e46d0421c25e63d83e7971597,0xA40A0C07,0x0000400B,0x00031002,0x314B4C43,0x00000002,PASS_SAME_SESSION_DONE_1,A4352F0EC75E813928538AABD2700582FD182130615E3DE7EB3CF3A6DE45C873,1,E502D02810937D5F3E25D7D812B02FB5B6D2D499735A794648D0B6A02D6DF734,BA16F61DEC3F17A03C929505718880BE12AD7279F3680200B9B65D1386FD1289,2026-08-28T14:59:55.5260390Z,2026-08-28T15:05:45.9178268Z,2026-08-28T15:07:54.427864177Z,WARM,387df384-29f4-4c09-874b-a9c8b6a18adc,VCDE-DUT-1,7.0.0-29-generic,10ee:7011 subsystem 10ee:0007 class 058000,GEN1_X1,1AEF06244DF308FEE544A2662B73855C81BEB88BC929E7885D8D113E474B320A,1,0,0x000000F9,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED,YES,26,1.0079537004999963,25.794835603165776,148500331.4500973,28124.859648217418,24.999875242859925,YES,65BDCA7C54F1ABA394692F908DF94AA81A487B6719E5B0D1B6BF4A11516EF631,B20D418E0AB1B3A5F3BEA3C9EA30D28A3B62130CE44A9C005A2ABAE0973EC06A,83AF6F834A363368C7FF6E9E3DC718E64B79B33B0D43E8EE951095D833A76364,NOT_APPLICABLE
6,R2OM-R02-P2-C2,C2,RECOVERED_PASS,B_26_EVENTS,2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D,e4d10bb8e85e3797d078144fd0965e9625ee727c,0xA40A0C07,0x0000400B,0x00031002,0x314B4C43,0x00000002,PASS_SAME_SESSION_DONE_1,51616FB1C5B254720AD1534DAA33EE4FA5CDD652770579CD682D431C9AADFB11,1,F76EA9541DE70CC4BC380E005EB116D59C54B621D223E1C8522F42B93354A8C2,C71682760032F2F14B35F30F83A1589FFB9AE4FA585A08218EEA21117118B5E6,2026-08-28T15:30:15.9062689Z,2026-08-28T15:36:40.5963694Z,2026-08-28T15:38:59.653345788Z,WARM,0d1ddd57-2c96-416f-af29-28b311a4cdbd,VCDE-DUT-1,7.0.0-29-generic,10ee:7011 subsystem 10ee:0007 class 058000,GEN1_X1,1AEF06244DF308FEE544A2662B73855C81BEB88BC929E7885D8D113E474B320A,1,0,0x000000F9,1,1,1,0,0,0,0,0,0,0,NOT_RECORDED,YES,26,1.0078361605000055,25.79784395422063,148500390.75691926,28125.109217222853,25.00009708197587,YES,61D1EF1A3690FA23B79A8B645B3377B02AEB8C2478139D8993F562A8CB9B3CEC,F1FC99C5CB94BD551986B40D3834DB04089D5C0ABA4EDAE603476D6EFDF7CC05,02CAA01799AAFA231C997FE8EF61530076F4F0B419920AC78CC1CD27A5A951E6,NOT_APPLICABLE
7,R2OM-R02-P3-C0,C0,FAIL,ZERO,73E973A42083D7D22CF427ED09B73F8DE2D2C05506697EA36E1FA1B5F7163C41,c4f4bfcf577c92c3021d1fe83c05878dd12e001c,0xA40A0C07,0x0000400B,0x00031002,0x314B4C43,0x00000002,PASS_SAME_SESSION_DONE_1,8A73C19D41495E656BF4010EA603FBA050B146162A30341DDAE83B22B05FBCB5,1,9B40E272EC145990778913A54E233D78C4135A949B1F5552185AAAB895DEA928,16958E477EE9CD0BAB0DA588D5FB836E8CFE839B1503115D7880070F4E2AAB37,2026-08-28T16:00:39.8862327Z,2026-08-28T16:08:25.1810637Z,2026-08-28T16:11:31.217192770Z,WARM,68b2be86-9c7a-4ff3-9ac2-5b2848e7808a,VCDE-DUT-1,7.0.0-29-generic,10ee:7011 subsystem 10ee:0007 class 058000,GEN1_X1,1AEF06244DF308FEE544A2662B73855C81BEB88BC929E7885D8D113E474B320A,1,1,0x000000FB,13,0,0,0,0,0,0,0,0,0,NOT_RECORDED,NO,0,1.0079740525000034,0,148500479.99113923,0,0,YES,72B893976DF40A3DFE76D48F6DF64FB55033CA4333C85A996509A37413D4C7D5,82DF4E88B209C1B73FC85D024A1F278EF5AB2578B2546B267CD3129800C7EFCF,3EC6E3E4C5F6B79934E3C06A051BC9DD9F17BF28DBE6AA6C299293771D093D42,NOT_APPLICABLE
8,R2OM-R02-P4-C3,C3,CLEAN_PASS,A_25_EVENTS,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,20c3323d79d3896edc586d6db1df7deee60f9e41,0xA40A0C07,0x0000400B,0x00031002,0x314B4C43,0x00000002,PASS_SAME_SESSION_DONE_1,4B1A4859EDEDB60C9F520CD9CBE2E55B62BD994251777DC3D498E90710CFCD5E,1,947D9AF093D260A6F81E0AFC30B04889A1F5388C551749E1983CE1FB51504A2B,677984BCF8F3B416302B17832439FBBF096631E5E3B147667CA36AFE90014763,2026-08-28T16:33:59.3918365Z,2026-08-28T16:39:34.8798196Z,2026-08-28T16:42:19.052471958Z,WARM,e973858e-0bc9-4822-a857-343cd930f9a2,VCDE-DUT-1,7.0.0-29-generic,10ee:7011 subsystem 10ee:0007 class 058000,GEN1_X1,1AEF06244DF308FEE544A2662B73855C81BEB88BC929E7885D8D113E474B320A,1,0,0x000000F9,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED,YES,25,1.0078723225000061,24.804729172429326,148500212.49462897,28125.12110243607,25.00010764660984,YES,85D88BBFA2DBB70CE5AA0B4E9E387341FCB7A78185B3ABF6139ED3907CEC46A5,51E1B316D87C0F8C5F38387F261D9D0CFB955807EB0046AB55F53D4AE258373C,0C6C633F97F44810D4F8AF9AA82C551C39BC9CA256007C3DAF2851CD55A54976,NOT_APPLICABLE
9,R2OM-R03-P1-C2,C2,RECOVERED_PASS,A_25_EVENTS,2092322C1C7A06A727691D8A666623FFE1C460CDD7B445DCD836293CAC5E5C1D,e4d10bb8e85e3797d078144fd0965e9625ee727c,0xA40A0C07,0x0000400B,0x00031002,0x314B4C43,0x00000002,PASS_SAME_SESSION_DONE_1,E2ED6BC924CEF6FAC5057E32ED6B11228C77DAAF2888252422CA87A7D45830D8,1,4C62FEDD20C6CBFD60621728DE31B357FC1C007BDE0E20CAFE90CEB451C6B572,7F5DA6F6FD9883477841F5862365FEEB3D98BED06B374EBF03A9CDFE72C7F4C1,2026-08-28T17:08:13.0763678Z,2026-08-28T17:15:17.9210271Z,2026-08-28T17:22:11.781192804Z,WARM,aa4bdc08-10ce-4513-9ec5-d4907e61a362,VCDE-DUT-1,7.0.0-29-generic,10ee:7011 subsystem 10ee:0007 class 058000,GEN1_X1,1AEF06244DF308FEE544A2662B73855C81BEB88BC929E7885D8D113E474B320A,1,0,0x000000F9,2,2,2,0,0,0,0,0,0,0,NOT_RECORDED,YES,25,1.0078171540000085,24.806086997800584,148500069.25816467,28124.642790928112,24.999682480824987,YES,10FDB21C4DE5C412FEE86DF67FA9263137CF399DBE20926C63E8D01E72427704,D9383C4A87B1D1196206A5003E2B07D3F99D2D93DA422D0A7AA4DDDDE33C94D1,CC159157A892D8D46F2BBE59F372A8D93FA066DABE230361FC267CC1700A635C,NOT_APPLICABLE
10,R2OM-R03-P2-C3,C3,INCONCLUSIVE,B_26_EVENTS,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,20c3323d79d3896edc586d6db1df7deee60f9e41,0xA40A0C07,0x0000400B,0x00031002,0x314B4C43,0x00000002,PASS_SAME_SESSION_DONE_1,6C10A76AFF0E75CFE62CDF0C27EFBCB1E844B0F2107C9A1EDB010309B6BA9D2D,1,F96CDCFA2DE2427741EE1DC13E4794A7EED4BF2535F329EE343442F9BBF19ACE,EB575AE188A6B6BA0163E6AFD856AD6FD01A2EE6DC22D61470EFF69F1468EAC0,2026-08-28T17:59:21.7072697Z,2026-08-28T18:04:34.9136512Z,2026-08-28T18:07:49.947408945Z,WARM,471fed49-f2ef-4693-8105-b61814d6e100,VCDE-DUT-1,7.0.0-29-generic,10ee:7011 subsystem 10ee:0007 class 058000,GEN1_X1,1AEF06244DF308FEE544A2662B73855C81BEB88BC929E7885D8D113E474B320A,1,0,0x000000F9,0,0,0,0,0,0,0,0,0,0,NOT_RECORDED,YES,26,1.0086680540000117,25.776567322513515,148504303.09768087,28126.68103074491,25.00149424955103,YES,26E2FFCEEA193E834CB80777A1E34EA618EDF6E6FECE4E067CD3000EC8E849AF,C911525528E125CE382024BA0D56B845564C94ADD1CE61FF009C5B308910E010,601486A11377BE6C6581C82C29BA0BD5B304FC5A64FB20F7560DDD44A316C777,NO
